,Final Portfolio Value
0,1.0135095307117499
1,1.006298073272439
2,0.9996950963578699
3,0.9866446446806921
4,0.9946212244986752
5,1.0040549114551414
6,1.0148821752746255
7,1.0194838818465377
8,1.018316402784967
9,1.0146450455640428
10,1.0298798889298042
11,1.0321337295571642
12,1.0281176770287965
13,1.0403143459424384
14,1.0407167906257628
15,1.0460169679417097
16,1.0501986473019964
17,1.0426448682694585
18,1.0463234279580913
19,1.0388393062499357
20,1.032888193660835
21,1.0353765554602528
22,1.0352535704977843
23,1.01978656291491
24,1.0280533963842555
25,1.0237668788632703
26,1.02582864181295
27,1.0298055573127705
28,1.035265732047088
29,1.033865657160179
30,1.0271266604414808
31,1.0301439440024387
32,1.0324253335737381
33,1.0256511353133302
34,1.0236009904074104
35,1.013101458939508
36,1.0141375619741624
37,1.008927260651614
38,1.003249522552226
39,1.0097399408035448
40,1.0168408604222627
41,1.009364010767834
42,1.0045325358120822
43,1.0143742924807182
44,1.006124014555817
45,1.0018223920590543
46,0.9929262001189025
47,0.9850662174191478
48,0.9867012834370821
49,0.9766443266192567
50,0.987338738607569
51,1.0008497088742263
52,1.0041248612305071
53,1.0132594990674055
54,1.0028526055224527
55,1.0071805441421706
56,1.0111778224192414
57,1.0139412599515079
58,1.0112244621108162
59,1.015120343316023
60,1.0116088227588378
61,1.0220468884611964
62,1.0201360585298276
63,1.020901072476495
64,1.0247539988875833
65,1.0280784228566306
66,1.0278085190041093
67,1.0312488698873805
68,1.0333552024394617
69,1.0390360529719658
70,1.0375877070573587
71,1.0351600632142803
72,1.0286162135994432
73,1.0274655957891534
74,1.0291291495136814
75,1.0332427776260142
76,1.03823546952144
77,1.0371106483577726
78,1.0349067515976662
79,1.040067356425491
80,1.0475127228746879
81,1.0441207301942304
82,1.044777175366991
83,1.040379976895941
84,1.0469004464171023
85,1.0460728400996513
86,1.0427780720919215
87,1.0373713735909418
88,1.036710840959703
89,1.033337719474291
90,1.0369687705815602
91,1.0288101678498114
92,1.0349349898845956
93,1.0376305630551674
94,1.0363100263489426
95,1.0280023210515419
96,1.036195847404514
97,1.0349743142889642
98,1.0331405060928716
99,1.0339033747570245
100,1.0391308446822671
101,1.0397990643216197
102,1.0393364965243288
103,1.0398218506236603
104,1.0372506150995402
105,1.0407162405677406
106,1.0386473311595665
107,1.038947982282648
108,1.0414825169550748
109,1.049814648059965
110,1.0494028729269975
111,1.044572809036198
112,1.0463732111802413
113,1.0476925749124586
114,1.047031206198746
115,1.0511094487540265
116,1.0456309931143244
117,1.042975276680958
118,1.0401263335027973
119,1.034857641017626
120,1.0325019340473922
121,1.0362199314326195
122,1.0270426183444301
123,1.0177059886735498
124,1.0239245432365174
125,1.0230699463543464
126,1.0165873240366252
127,1.0227800258639577
128,1.0224158700784827
129,1.018571065077923
130,1.0150524618648904
131,1.0142249677875748
132,1.01150357102521
133,1.0112776591653594
134,1.010031226682412
135,1.0057304536897094
136,1.005947345473135
137,1.012759912569046
138,1.0213094830775542
139,1.0208112378922147
140,1.0191059326046472
141,1.0220319042403938
142,1.0173834284106524
143,1.0211291970743603
144,1.0180708326441659
145,1.0243841203058695
146,1.0270049765098648
147,1.0248508234905325
148,1.0198292005032776
149,1.0234984853378015
150,1.0188555173938447
151,1.0227341658681603
152,1.0151783303778739
153,1.011158508179401
154,1.0114028952493992
155,1.0184896384019533
156,1.0193143653406354
157,1.0284568106849086
158,1.0272011127756238
159,1.0272924234008411
160,1.0289176111505445
161,1.0337061422693234
162,1.0251448598466613
163,1.0303036031961081
164,1.0305561841966593
165,1.0309160041893943
166,1.030756542177215
167,1.0275318255359474
168,1.0306343088384016
169,1.037775430329633
170,1.036224687596155
171,1.035855296423624
172,1.0350428128350597
