,Final Portfolio Value
0,1.0017328902846678
1,1.0018037374745699
2,1.0027650084900304
3,1.004186049378898
4,1.0061575972917767
5,1.0038987639024957
6,1.0052485693126167
7,1.0082683001400348
8,1.0097754559426653
9,1.0107152440437137
10,1.010813197445816
11,1.0089949657882133
12,1.0052610879395687
13,1.009648586457122
14,1.0110889697369017
15,1.0131913510405843
16,1.0160328878574292
17,1.022213696914884
18,1.0234070537106579
19,1.0253609710678748
20,1.020256331832332
21,1.020425592415354
22,1.0152531316153266
23,1.0138272661679595
24,1.0163175215510052
25,1.017753324342535
26,1.0179174713812689
27,1.0224136986770858
28,1.0265739209372322
29,1.0281560777993441
30,1.0328423719518303
31,1.0330836264357832
32,1.0338363862895055
33,1.032332388682988
34,1.0296891699219837
35,1.0312212177414042
36,1.0326785366821394
37,1.033266662271271
38,1.0336430836787678
39,1.036123900177282
40,1.0375583150395156
41,1.041033534882715
42,1.0416043919948663
43,1.0427498611565924
44,1.0408125361599496
45,1.0428402039250935
46,1.0430292528323992
47,1.0447565907997707
48,1.0416505691399982
49,1.0431883612631683
50,1.0358858987397284
51,1.0374203713380048
52,1.028231716908349
53,1.029523912043787
54,1.024478125219995
55,1.0295124307472592
56,1.0328008797622164
57,1.0404200470374283
58,1.0393364088245303
59,1.0317332401020516
60,1.0332398905218436
61,1.0330614844657118
62,1.024941107566613
63,1.0288282926609316
64,1.0276392551976696
65,1.0221552792663473
66,1.0201965169686733
67,1.0222241639620762
68,1.027934147532702
69,1.0296249292783135
70,1.0303669738310783
71,1.0375002352144431
72,1.0407716760867154
73,1.0387658850835182
74,1.0381859935354825
75,1.0375967470254657
76,1.038521517697184
77,1.0496504790182173
78,1.0512205164532866
79,1.0543866350014093
80,1.0541058251206703
81,1.0526930647269204
82,1.051504212531614
83,1.0511722108631139
84,1.0507985148770391
85,1.0552631740401934
86,1.0604844081776794
87,1.0615730253772007
88,1.0667966999612384
89,1.0673712772201571
90,1.0654453618410815
91,1.065420895807946
92,1.0627327218614049
93,1.061264910777075
94,1.0594022227535096
95,1.0594460367360445
96,1.0607676908741395
97,1.064258407114174
98,1.0624102172965224
99,1.0612096247671863
100,1.0612823764547734
101,1.0629040051137855
102,1.0686121150836014
103,1.070150577874799
104,1.0671823701834313
105,1.069646978479143
106,1.0696044104510518
107,1.0618681354389918
108,1.0632868789764895
109,1.05185630088821
110,1.043450078177965
111,1.042042368232066
112,1.0452148916290807
113,1.0540395230113337
114,1.0488564436919927
115,1.0477216270882488
116,1.0521142610342893
117,1.0452785118470866
118,1.0448843109109804
119,1.0509215612018328
120,1.0554676025845626
121,1.054135554514677
