,Final Portfolio Value
0,1.001530420504896
1,1.0013365451643201
2,1.0022124738411358
3,1.0034333376402107
4,1.005124903851043
5,1.0027411462652707
6,1.0035142595736886
7,1.006196163872557
8,1.0075056903781907
9,1.0082531559678787
10,1.0084278724614095
11,1.007155443501465
12,1.0043145690355397
13,1.0088837204627759
14,1.0103016960290354
15,1.011734950688872
16,1.013916907129615
17,1.0186464515044757
18,1.0199662628547226
19,1.0209946348908538
20,1.0171769613362356
21,1.017498557221345
22,1.0154749344133196
23,1.014066351325878
24,1.015891457489556
25,1.0172105260202577
26,1.0177242322515254
27,1.0211131887162617
28,1.0241041306527936
29,1.025319830550601
30,1.0286281451522388
31,1.0286625245720724
32,1.0292210990131683
33,1.027630453265453
34,1.0257127560488155
35,1.0269706512026475
36,1.0280531400901585
37,1.0282326042650556
38,1.0282948329059354
39,1.0303043611002218
40,1.0312487025404191
41,1.0339557715987726
42,1.0343661824782242
43,1.035519979408047
44,1.033970715084619
45,1.0361569094682765
46,1.0362928239145628
47,1.0376116487039775
48,1.0353959969339128
49,1.036466810224633
50,1.0314988001423966
51,1.0324803137680747
52,1.02549238642401
53,1.0264213946305636
54,1.022908880083285
55,1.0263350977719918
56,1.0290669490139868
57,1.0348053841521487
58,1.0345325030521169
59,1.0286913607457833
60,1.029517550203923
61,1.0293371447329325
62,1.0233252774441906
63,1.0269081107836824
64,1.0262008371140445
65,1.023103186091171
66,1.0217470910474145
67,1.023330749191669
68,1.0278355801254846
69,1.0292770708691763
70,1.0307952876545816
71,1.0370915709901178
72,1.0395565022411066
73,1.0380623247611458
74,1.0370555922038902
75,1.0368405260521123
76,1.0378761867083894
77,1.0465029035119209
78,1.0488910755752383
79,1.0515496755040101
80,1.0513130363080543
81,1.0502973491539285
82,1.049876393537
83,1.0494587712032963
84,1.0492211301654613
85,1.0526733620963422
86,1.0575454047031336
87,1.0582759082861957
88,1.0623268710948475
89,1.0627747174567148
90,1.0620148321176504
91,1.0621815002426667
92,1.0597404434508557
93,1.0585722035906775
94,1.056168687193118
95,1.0561828095820254
96,1.0573241721416844
97,1.0605488099749965
98,1.0593764969135575
99,1.059461354643424
100,1.0595698974497214
101,1.0608400240924882
102,1.0651544845035301
103,1.0666515927215572
104,1.064482874446294
105,1.0664285796812656
106,1.066415353056374
107,1.0611843414771926
108,1.0624389581138463
109,1.0541861575153724
110,1.0486936392463067
111,1.0482928794635673
112,1.0508007263607124
113,1.0573197000224608
114,1.053593387261459
115,1.0527164100577822
116,1.0560228613403098
117,1.0524964607791158
118,1.0523003667446056
119,1.056710615766986
120,1.0598856512964945
121,1.0591899139912169
122,1.0630530208360194
123,1.0608871377186242
124,1.0574743075257467
125,1.0621636957270475
126,1.0628670156961384
127,1.06657318830357
128,1.0677051438750143
129,1.0677817329809236
130,1.0665969199024938
131,1.0693655687853996
132,1.068295124451622
133,1.0712944508249695
134,1.0702783401064897
135,1.0664127171654336
136,1.0688851148302676
137,1.0716496244789036
138,1.0718512282794779
139,1.0682342720340947
140,1.0668311625542743
141,1.0678356506741524
142,1.0707731696027252
143,1.0723753612599543
144,1.0706098230399217
145,1.0734007438592412
146,1.0710162903798897
147,1.0731151361299403
148,1.0738710431495626
149,1.0760060233403053
150,1.0715970673220878
151,1.0605997279950392
152,1.063744366292633
153,1.0655938930972317
154,1.0635705308600014
155,1.0645929754163814
156,1.0663602443638491
157,1.070815649466415
158,1.069566653477498
159,1.073439110420515
160,1.0726570628309238
161,1.071911183593144
162,1.0707580565307142
163,1.0702268182234553
164,1.0715824018082485
165,1.0722334804101277
166,1.0756355213075581
167,1.0749136685091798
168,1.0731912954347194
169,1.0730043300883483
170,1.0728441378527362
171,1.0714976248102437
172,1.0747274941377651
173,1.0772125229519909
174,1.0782857534972325
175,1.0791761521216006
176,1.0794387376763352
177,1.077048618120371
178,1.0752538038033335
179,1.0766558401705228
180,1.0768901911369961
181,1.0762723390434539
182,1.0781013066230098
183,1.0783090123222685
184,1.0772873032846988
185,1.0761148240655392
186,1.0750056020960144
187,1.0767544582083357
188,1.078950346161305
189,1.0796278712854848
190,1.079875840773212
191,1.0787671072747855
192,1.0785954384774765
193,1.0689789063849373
194,1.0706447262648573
195,1.0733023155508425
196,1.070882624742242
197,1.0752172023145827
198,1.0741234012959056
199,1.0746666910169902
200,1.077439699292874
201,1.0772807970100216
202,1.080547861836282
203,1.0846807659774154
204,1.0838247932842426
205,1.0830658295511393
206,1.0806061879720028
207,1.0841337674108213
208,1.0837424615079922
209,1.0845722113992877
210,1.0794760585982817
211,1.0839987783983744
212,1.0815068997438826
213,1.082014878771443
214,1.0818067970455927
215,1.0832351592553484
216,1.0829640214796683
217,1.0802177050840889
218,1.0803396265158731
219,1.080853282702718
220,1.0819795703518587
221,1.0855331451388117
222,1.0847694111565405
223,1.0854042987755776
224,1.0838672068450677
225,1.0816676004187638
226,1.0875612537029737
227,1.0812100517014493
228,1.0841721865066787
229,1.087012182213784
230,1.0840790955063588
231,1.0811565015168543
232,1.08022642475496
233,1.0859924209823344
234,1.088891746507032
235,1.0911554943171742
236,1.0911228192866216
237,1.091382086546565
238,1.0943808568787805
239,1.0967756737589514
240,1.096639768219339
241,1.096691147718449
242,1.0978898826834416
243,1.096415488582229
244,1.0995334421884855
245,1.0971439798799016
246,1.0948263950784047
247,1.081121300519035
248,1.0745140890115075
249,1.0735910567086109
250,1.0615790994853427
251,1.050353179618315
252,1.0509696717585124
253,1.0575329325867644
254,1.0619927693714326
255,1.0565497594796187
256,1.0435204572274979
257,1.0113441428767895
258,1.0064603647104804
259,1.0085226998202297
260,0.9642997051399964
261,0.9641592678312387
262,0.9302145906008752
263,0.9340221018322511
264,0.899857692531294
265,0.9176903007840764
266,0.9339767739945641
267,0.9313558312909714
268,0.9557200269876384
269,0.9594976938674044
270,0.9743763619702515
271,0.9647959136258171
272,0.968849348132169
273,0.9688024440722549
274,0.9566088211190471
275,0.957023813991482
276,0.9539902323736986
277,0.9676822258647384
278,0.971247577607822
279,0.9709419415285754
280,0.9820582549487851
281,0.9859206707099297
282,0.9741989568118934
283,0.9755547863579963
284,0.9840252346581833
285,0.9830711528800764
286,0.9701986489666183
287,0.9742863887888358
288,0.9793959848187819
289,0.978011336137775
290,0.9871580622445268
291,0.990913207165486
292,0.9985334540453086
293,0.9942661853764485
294,0.9832488611258823
295,0.988522328590089
296,0.9816409576732169
297,0.9855627652675719
298,0.9848601559959602
299,0.9827562351907175
300,0.9768261643894784
301,0.9711403231327492
302,0.971676738355979
303,0.9853062395621042
304,0.9847833424166017
305,0.9894778780788009
306,0.9861228494893262
307,0.988522706197646
308,0.9955918779273125
309,1.0003905171622738
310,0.9975547851794635
311,1.008245850051884
312,1.0176308405701868
313,1.0189852724389876
314,1.0319686333482696
315,1.030177036356764
316,1.0237104313826495
317,1.0203898942535865
318,1.0089063085401666
319,1.0116017447538657
320,1.010025634819231
321,1.0202630598016038
322,1.022166461414387
323,1.0206960955032447
324,1.0229164285932333
325,1.0215476297858712
326,1.025421227916016
327,1.017294995489444
328,1.0200372889339684
329,1.0181331064528911
330,1.021353747248595
331,1.0219838016686982
332,1.0195621191982414
333,1.030285926955722
334,1.0273722915163372
335,1.0331492414541297
336,1.0304597599144008
337,1.0281811297086763
338,1.026916845564566
339,1.0299704500522169
340,1.032617251155233
341,1.0320586914627794
342,1.0378210540162283
343,1.037668969252704
344,1.0370710035161008
345,1.0417621804461679
346,1.0440063924991452
347,1.0420231316270583
348,1.0422642156007438
349,1.0355210733156948
350,1.036524778600876
351,1.0366533627919823
352,1.0359192789590883
353,1.0287414713477872
354,1.0253986112146036
355,1.030533602294915
356,1.032611745022429
357,1.0327412770125266
358,1.032570523548117
