,Final Portfolio Value
0,0.9997289997261802
1,0.9993504599015588
2,1.0001093657617572
3,1.0011463858490013
4,1.0026694598898511
5,1.0002272078205017
6,1.0005403413482368
7,1.0030058964485815
8,1.0042404361956714
9,1.0047578278150018
10,1.0050244754274265
11,1.0041745821008095
12,1.001955272358422
13,1.0064306105740872
14,1.0079567578900042
15,1.0088603625992996
16,1.010590914611682
17,1.0142494734155327
18,1.015658176435765
19,1.0160198900794666
20,1.0131234057610947
21,1.0136251284164282
22,1.013748390549308
23,1.0123623487253435
24,1.0136977496131385
25,1.0150226661228965
26,1.0157117348330562
27,1.0183177134502828
28,1.020427806749855
29,1.0213930251008414
30,1.0236433781769714
31,1.0234764390826074
32,1.023894414075378
33,1.0223792283455344
34,1.021002399612764
35,1.022104926043844
36,1.0229164144746812
37,1.0227084458127003
38,1.0226269895267062
39,1.0243553766651055
40,1.0249021129902463
41,1.0270987258979343
42,1.0273882685454276
43,1.0286563371134956
44,1.0273482513149947
45,1.0295435367673296
46,1.0296394236713584
47,1.0306494430943676
48,1.0291102145111592
49,1.0298178731652343
50,1.0265732627288338
51,1.027098430622321
52,1.0217596770483532
53,1.0224150872948554
54,1.020009071804358
55,1.0222244233870308
56,1.0245035548788772
57,1.0289104424804902
58,1.029144021254068
59,1.0246650525143477
60,1.0249732942391483
61,1.024774332252377
62,1.0202940209687266
63,1.023508076250541
64,1.023234465826556
65,1.0217574181195623
66,1.020872375044308
67,1.0219903776040615
68,1.0257180380319935
69,1.0270456071212615
70,1.0289272265901566
71,1.0345252628945611
72,1.0364195697788525
73,1.035293754956729
74,1.0340049143590884
75,1.0341399274718701
76,1.0351892796931792
77,1.042135586682969
78,1.0448849456720362
79,1.0472862473040068
80,1.0470715185650354
81,1.046354956791567
82,1.0463770334992688
83,1.0459375699116422
84,1.0457338813562245
85,1.048431506882534
86,1.0530089916544045
87,1.0534526681302765
88,1.0567168124232493
89,1.0570805557862564
90,1.0569649578207918
91,1.057294648085475
92,1.0550683401022032
93,1.0540888328398537
94,1.0514694220330711
95,1.0514554947663572
96,1.0525235522060234
97,1.0554668071679525
98,1.0548547979461258
99,1.0557384081469028
100,1.055926021383672
101,1.0569654502777541
102,1.0602127486047728
103,1.0618065739653304
104,1.0602287648093616
105,1.0618404002196227
106,1.0618549594429867
107,1.0583458987455847
108,1.0595535963328846
109,1.0536832766591635
110,1.05011095606012
111,1.0504076084583396
112,1.0524889649939828
113,1.05732812462931
114,1.0546992312051142
115,1.0539965069458486
116,1.0565332415320392
117,1.0552563993601327
118,1.055238094793929
