,Final Portfolio Value
0,1.0022148168328
1,1.0020139327242839
2,1.0029790095628317
3,1.0042635656468395
4,1.0059004105481697
5,1.0034714434929382
6,1.0043205102218158
7,1.006956274682082
8,1.0081556358748194
9,1.0090518659944816
10,1.0091660962563633
11,1.007843643868821
12,1.0050356349669052
13,1.0099585606029216
14,1.0111721859815466
15,1.0126859118883598
16,1.0148309498524837
17,1.0196055938905801
18,1.0209251948156528
19,1.0219597543403867
20,1.0181476585229678
21,1.01835301769628
22,1.0165020282314698
23,1.0150797321463956
24,1.0169243231054006
25,1.01809586842108
26,1.018729435603009
27,1.0220978253814674
28,1.0251558836058159
29,1.0263505543990477
30,1.0297706791071732
31,1.0298917112474444
32,1.0304520828111514
33,1.0286416760039745
34,1.0266916831537827
35,1.0278811909256054
36,1.0289665003883073
37,1.0293002798072752
38,1.0292311139976398
39,1.0311461848117829
40,1.0321653908666741
41,1.0348043842709655
42,1.0352240047089085
43,1.0361997308389788
44,1.0347123156171583
45,1.0370632525073413
46,1.037202216853388
47,1.038545665423224
48,1.0362695584744999
49,1.037385869131394
50,1.0323389761643376
51,1.0334176565243793
52,1.0263202271254777
53,1.0272700821366496
54,1.0237475244635004
55,1.0272665324530985
56,1.0300819442931792
57,1.035788137525533
58,1.0356343635716714
59,1.0296382922014733
60,1.0305140328739137
61,1.0303617797990532
62,1.0243223494951619
63,1.0281434030212164
64,1.027292643206434
65,1.024339332846149
66,1.0229206120859435
67,1.0247417283796347
68,1.0291008080272999
69,1.0304351264782565
70,1.032260883211158
71,1.0387067963899712
72,1.0411572768691217
73,1.0396617681605196
74,1.0386197345553043
75,1.0382710426043682
76,1.039411031135687
77,1.047844939116193
78,1.0505911762641895
79,1.0530733100951941
80,1.0528528232813867
81,1.0518143442600785
82,1.0515659998651674
83,1.0510853458673644
84,1.050950891900134
85,1.0544463989220794
86,1.059381642186165
87,1.0601607401438335
88,1.064120141688356
89,1.0645565710308147
90,1.0641051887077608
91,1.0642286857800867
92,1.0617306739883037
93,1.0606059865543507
94,1.057930314141554
95,1.0579554846998285
96,1.05900439897064
97,1.0623705545964968
98,1.0610753372429491
99,1.0613548773997932
100,1.0613764130069512
101,1.0626106453216413
102,1.0670316569959182
103,1.068320867736934
104,1.0661249503738175
105,1.0680069838195048
106,1.067982729126056
107,1.0628738278374206
108,1.06401170328549
109,1.0555952780835565
110,1.0503774435783118
111,1.0500137562794498
112,1.0524376954254262
113,1.0589951229784764
114,1.0551851923188094
115,1.054326277104234
116,1.0576152679818236
117,1.0542840749844888
118,1.0540296610665527
119,1.0584957455232604
120,1.0618238399068218
121,1.06095073989965
122,1.0649221012842127
123,1.0627507500797801
124,1.0593690536634857
125,1.064363523265084
126,1.0653153519806795
127,1.0690299670310406
128,1.0701300087499752
129,1.0702308787285975
130,1.0690410415115619
131,1.0719950687570377
132,1.0707107693654772
133,1.0738559955707803
134,1.0729788339416608
135,1.0688021091665645
136,1.071436008996174
137,1.074133155925177
138,1.0744686815856748
139,1.070628091671073
140,1.0692675702052368
141,1.0702298978804485
142,1.0734917859011999
143,1.0751594080989297
144,1.0731439783348717
145,1.0762815978773832
146,1.0738548279931546
147,1.075963325504343
148,1.076755590043223
149,1.0788956989868037
150,1.074218259323552
151,1.0630583552787787
152,1.0661873341341015
153,1.0681322523950287
154,1.0661564608062613
155,1.0671801724658487
156,1.0691595438583268
157,1.0733445568728333
158,1.0720729236702122
159,1.0760161118707408
160,1.0752289665505863
161,1.0744340135940287
162,1.0733088988861492
163,1.0727254602583072
164,1.0739605739031983
165,1.0745508180951435
166,1.078207620913475
167,1.077366417453609
168,1.0755194369474508
169,1.075306719963453
170,1.0751429330381346
171,1.0737554243078375
172,1.0770886464384264
173,1.0796162702576324
174,1.080702803797733
175,1.081570761397532
176,1.0820547968546201
177,1.079324241773079
178,1.077463667140553
179,1.078891779035966
180,1.0791448539819517
181,1.0784592490276
182,1.0803615905542259
183,1.0807078612978855
184,1.079648689072348
