,Final Portfolio Value
0,1.0020104167429187
1,1.0019816201999463
2,1.0031995055090672
3,1.0047619204212386
4,1.0064742716037727
5,1.0040394729246531
6,1.0054598824475898
7,1.0082288835636848
8,1.0093255435304642
9,1.010680208784468
10,1.01060817796558
11,1.0087935845782905
12,1.0054315592353138
13,1.0109881744766438
14,1.0117700269784962
15,1.0139290162728596
16,1.0164555690231398
17,1.0223448871275445
18,1.0235722832187963
19,1.025272215136781
20,1.0205701859506202
21,1.0204142279735766
22,1.0167186118616662
23,1.0152568307568612
24,1.017610350525022
25,1.0185406828697456
26,1.0191873991912335
27,1.0232869360387895
28,1.027311614996511
29,1.028717118726199
30,1.0333480290896113
31,1.0338038278829553
32,1.03450425635694
33,1.0322794162884197
34,1.0297501215402787
35,1.0309820542023937
36,1.0323362914072511
37,1.0332944527956198
38,1.0331609832316708
39,1.0351995812656116
40,1.03672625932078
41,1.0397546469228751
42,1.0403069050628189
43,1.040886858995782
44,1.039262853404575
45,1.0418565472310686
46,1.0420394367767791
47,1.043722651785815
48,1.0406900232507963
49,1.0422333092886455
50,1.0353747475604607
51,1.0370538184969127
52,1.0281762103102423
53,1.0294263047152183
54,1.0248052515457748
55,1.0296559542868533
56,1.0330414861077999
57,1.0399954473360689
58,1.0395288440622719
59,1.0319614550742662
60,1.0334242469880264
61,1.0333350428203782
62,1.0257572161038189
63,1.0303054383812842
64,1.028803208940182
65,1.0244842546238007
66,1.022505935354105
67,1.0251548660480325
68,1.030039580935484
69,1.0313139664225948
70,1.033258374299725
71,1.0406097958508111
72,1.043593985897267
73,1.0417369272219283
74,1.0409213796315433
75,1.040017781690152
76,1.0413047270942137
77,1.051070470703722
78,1.0540141464070596
79,1.0564656240385977
80,1.0562495441516508
81,1.054882812598989
82,1.0544686984811649
83,1.0539120317202626
84,1.0539066108606023
85,1.058205177177284
86,1.0635157694707078
87,1.0646523113561546
88,1.0692332713074344
89,1.0697335367980845
90,1.0691316958927681
91,1.0690258634507408
92,1.0662337457178517
93,1.0649944323899971
94,1.0621125446205983
95,1.0621827216031126
96,1.0631555773686658
97,1.0670119414448989
98,1.064973810243369
99,1.0647691266376753
100,1.0645757114391072
101,1.065977741995939
102,1.0716073102121324
