,Final Portfolio Value
0,1.0011226107329423
1,1.0008684105718575
2,1.0017433753891813
3,1.0029322419856024
4,1.0045492393019346
5,1.0021294791465265
6,1.002789492041364
7,1.0053852227462792
8,1.0066272191298071
9,1.0073623185843825
10,1.0075415025619314
11,1.006380922294385
12,1.00374721853222
13,1.0084279004080552
14,1.0097977904572948
15,1.0110979585088318
16,1.0131242325073886
17,1.0175374664928274
18,1.0188847379138226
19,1.0197077026384476
20,1.0161797909675292
21,1.0165110527018844
22,1.0152256793429602
23,1.0138188118836802
24,1.0154988722079787
25,1.01676067826202
26,1.0173768502422456
27,1.0205131807419119
28,1.02325606846834
29,1.0243851635379895
30,1.027408043566091
31,1.0274142932870243
32,1.0279297026818166
33,1.026274981313733
34,1.0245131681910018
35,1.025695177263512
36,1.0266942093848381
37,1.0268145536131543
38,1.0267795125549062
39,1.0286634558839207
40,1.0295136798074271
41,1.0320341553496242
42,1.0324105287423306
43,1.033528669832847
44,1.0320794563357432
45,1.0343340276177926
46,1.0344586699794545
47,1.0356909374430423
48,1.0336622012158991
49,1.034637887379886
50,1.0301760385208096
51,1.0310540328261966
52,1.0245371461175439
53,1.025389106891634
54,1.0222178275959148
55,1.0253033484517122
56,1.0279271661227352
57,1.0332370757102016
58,1.0331696357575229
59,1.0276918113356752
60,1.0283762828527516
61,1.0282013613356047
62,1.0226564938024398
63,1.0262191288981597
64,1.0255897710544373
65,1.0230551874608582
66,1.0218210367348926
67,1.0233542406886849
68,1.0275581178298376
69,1.028921124628877
70,1.030675254520899
71,1.0368129532982033
72,1.0390939894103917
73,1.037714254577117
74,1.036605626187773
75,1.0364463077201356
76,1.0375277843670858
77,1.0455527741549235
78,1.0481962466764465
79,1.0507038565770115
80,1.0504805257692398
81,1.0495490747788632
82,1.049335183449243
83,1.04888562694076
84,1.0486998125759348
85,1.0519337537482492
86,1.0567386633551252
87,1.0573991041280575
88,1.0611678065868348
89,1.0615848292682353
90,1.0611490484637505
91,1.0613492561050015
92,1.0589526648221046
93,1.057860777604078
94,1.055281556997674
95,1.055291349484981
96,1.0563728030443151
97,1.0595658939934194
98,1.0585192396417287
99,1.058930773140307
100,1.0590291898504487
101,1.0602129327184402
102,1.0642368703574416
103,1.0656808969655578
104,1.0636857231364019
105,1.0655016536387227
106,1.065492682625111
107,1.0608476976000447
108,1.0620409109485065
109,1.0544662095144606
110,1.0496824746823687
111,1.0495139110813627
112,1.051855031169332
113,1.0578650919240178
114,1.054447821460775
115,1.0536324676727353
116,1.0566916763159533
117,1.053944718988188
118,1.053780758819031
119,1.0578379381161576
120,1.0607377141217214
121,1.0601472878039493
122,1.0636836592445698
123,1.0616847078247098
124,1.0586264402790972
125,1.06339634946106
126,1.0643159074778332
127,1.0676243688846545
128,1.0686003828685104
129,1.068624509739355
130,1.0675316124499588
131,1.070146698801575
132,1.0685256670291527
133,1.0715901045657712
134,1.0706106552278094
135,1.0663908813422927
136,1.0688304388091732
137,1.071403760645678
138,1.071550557202533
139,1.0680538816918987
140,1.0665874649404343
141,1.067527689896914
142,1.0704551805715463
143,1.0719309951222629
144,1.0703737742332131
145,1.073508427612727
146,1.0712364624179118
147,1.0731935138238504
148,1.0738354828634464
149,1.0757756295062753
150,1.0716638336466255
151,1.061405009932763
152,1.0643142267040782
153,1.065994501139407
154,1.0643726708027792
155,1.0650890035540457
156,1.066658945972838
157,1.070246657415433
158,1.069099660570671
159,1.0726557130830316
160,1.0718346751649994
161,1.071160173454576
162,1.0700868195636606
163,1.069265392106111
164,1.0705529631062447
165,1.071172250878185
166,1.0746646625763567
167,1.0738144462716748
168,1.0719505509761136
169,1.0717854365068284
170,1.0716385298378748
171,1.0704068630972694
172,1.0735844360949363
173,1.075697230285908
174,1.0766846253421343
175,1.0774529497031762
176,1.0776303101109823
177,1.0750552875399486
178,1.0731921665318964
179,1.0744795101184526
180,1.0748817280801584
181,1.074330979232286
182,1.075998744403472
183,1.0763653628369867
184,1.075384095739453
185,1.0743592199806713
186,1.073307095271685
187,1.074961667562886
188,1.0770306160477363
189,1.077693191631382
190,1.0779209190483217
191,1.0768479745107964
192,1.0766628744708076
193,1.0674070570529033
194,1.0693542232312963
195,1.0716014735738877
196,1.06915644256028
197,1.0731505647285957
198,1.0721807879632588
199,1.0728114692909194
200,1.0755346923270113
201,1.075128493696014
202,1.0781753618378147
203,1.082102266925675
204,1.0814744046919005
205,1.0807688690150723
206,1.0781390524416634
207,1.0813835894829686
208,1.0810057019572061
209,1.081821213645806
210,1.076883248730191
211,1.0813676785161874
212,1.0790172614283244
213,1.0794457902291192
214,1.0791207987696678
215,1.0803242351109845
216,1.0801575385879558
