,Final Portfolio Value
0,0.992973596567626
1,0.9935282548619478
2,0.9965556555970561
3,1.0119195851718694
4,1.010334291770307
5,1.013528082588253
6,1.0129420799359612
7,1.0172744376486649
8,1.0201646774485957
9,1.0193881621840812
10,1.0213586900722547
11,1.0197179403625645
12,1.0306373580450763
13,1.031527830229947
14,1.0367742625695608
15,1.0382486221964133
16,1.0396352626426046
17,1.0413869461270044
18,1.042277418311875
19,1.0422249639909393
20,1.044586772657016
21,1.0421987474096985
22,1.0463152627058214
23,1.045424790520951
24,1.0495120660901867
25,1.0637076727407426
26,1.065225938349494
27,1.0676062492736895
28,1.0728867750753521
29,1.074763203415105
30,1.0771989918058822
31,1.0744304232494297
32,1.0738503718105545
33,1.0723435234497025
34,1.073780929026546
35,1.0723388111137728
36,1.0686715056436509
37,1.068458370088058
38,1.0721764829443907
39,1.0739213072800373
40,1.0740830061853994
41,1.077130442053065
42,1.0793998403610046
43,1.080176355625519
44,1.08053923069245
45,1.082415592715221
46,1.0815328845880468
47,1.0796060558547182
48,1.0832023735949332
49,1.0910808314470817
50,1.0880408150857974
51,1.0853786018626
52,1.0842747051846007
53,1.0876390767111075
54,1.080567420511185
55,1.0821663969481214
56,1.0724015170010177
57,1.065516250895055
58,1.0577304082147552
59,1.058032586171236
60,1.0681503859102262
61,1.068344493674828
62,1.0597749444649254
63,1.0685610232388154
64,1.0711247243197564
65,1.0737322606819173
66,1.0741484148042533
67,1.0741206555305092
68,1.0733439538261593
69,1.0743703486706548
70,1.0750638427155481
71,1.0814442050640478
72,1.076199054324832
73,1.0755718942964012
74,1.061016563468384
75,1.0601011340209892
76,1.0503443397560404
77,1.0485135518587922
78,1.048125155474017
79,1.0392952875725614
80,1.0369373034527494
81,1.0393506398459587
82,1.0282504801167884
83,1.0196175813139696
84,1.0196175813139696
85,1.021198672998872
86,1.0172811471848962
87,1.0205543689243406
88,1.017780368946687
89,1.0205004301719351
90,1.0201228855474982
91,1.01449696084701
92,1.0161395310274581
93,1.01550588830619
94,1.005757119724684
95,1.017810836554275
96,1.0221515698886667
97,1.0176224768423923
98,1.0187437957770933
99,1.0215748349568705
100,1.0198870339479607
101,1.0175553267777642
102,1.0167888186130933
103,1.0196534222427538
104,1.0394577258187518
105,1.0392100793145151
106,1.0242970052639953
107,1.0288041790741036
108,1.0285267712262884
109,1.027550005278431
110,1.0237757646006793
111,1.0207228012591365
112,1.0263498699005227
113,1.0296583218537145
114,1.0294028332420657
115,1.0260106296674913
116,1.0239183904401319
117,1.0253212127320812
118,1.026890238052053
119,1.025218007580142
120,1.0239025187926092
121,1.0239818526291724
122,1.024281294587432
123,1.030309182038327
124,1.030055018994336
125,1.0272995391830562
126,1.026214958076351
127,1.0218992836660044
128,1.0200421614075195
129,1.0191447831932918
130,1.0268333610066174
131,1.0318351820843037
132,1.0342257736274074
133,1.0310827660908166
134,1.0251640499886197
135,1.0212844581742466
136,1.038484395022771
137,1.0399338538383134
138,1.0393683084568937
139,1.0401433639075153
140,1.039114145412903
141,1.0398892008635245
142,1.0392802226898428
143,1.038814682335966
144,1.0410945697735614
145,1.0460761199299569
146,1.0488416728797219
147,1.0488315997412367
148,1.049160246641551
149,1.048931677290017
150,1.0502804629011822
151,1.0531119001703808
152,1.0532679254275128
153,1.0523267715812743
154,1.0477127605192995
155,1.0510779599228566
156,1.051002585632403
157,1.0522482998619962
158,1.0510903679903763
159,1.0709408063600656
160,1.0682088056425396
161,1.0717859258181068
162,1.0725620485406517
163,1.0827835937854888
164,1.0904959502486347
165,1.0907411138056773
166,1.0940531420413078
167,1.0903547070575594
168,1.0882040078120547
169,1.0872839971807085
170,1.0857751907267978
171,1.0746559860444775
172,1.0819553736820582
173,1.0795633487956509
174,1.0821393630160183
175,1.0830777944454395
176,1.0819938711326818
177,1.0843491038202395
178,1.085029904838578
179,1.078543030535693
180,1.0716974559105252
181,1.0735240080387698
182,1.0738553184201929
183,1.0781793573510905
184,1.079412700041455
185,1.0804618390507952
186,1.08714623055071
187,1.0876612754117931
188,1.0901822091912008
189,1.0924451302750382
190,1.0929235262931951
191,1.0797309389315597
192,1.0805039754245485
193,1.0787746582239395
194,1.0857500936500362
195,1.0856470702432617
196,1.0849292416153444
197,1.0801808061350986
198,1.0811928060364837
199,1.0790031615748343
200,1.0689574799125263
201,1.0695829405037522
202,1.0673442721041375
203,1.0602950276634948
204,1.0633310063039856
205,1.064821381159863
206,1.076821560713807
207,1.076059316535293
208,1.0756727982887986
209,1.078378163436146
210,1.0878692283834717
211,1.0870217187080815
212,1.0976348009423311
213,1.0998078296741065
214,1.0970025289535852
215,1.0957434274720885
216,1.1035462359770936
217,1.098545718944721
218,1.1010612819549834
219,1.1014307408257915
220,1.1018214047796069
221,1.1028530177945617
222,1.109241054781428
223,1.1106421059553975
224,1.120224010557086
225,1.1139644117110559
226,1.1195592453453158
227,1.1208669543520755
228,1.120215423461226
229,1.122507711603311
230,1.1241049228579763
231,1.1290074592229185
232,1.1268313550581022
233,1.1302088469678226
234,1.121585384563009
235,1.1206922360874838
236,1.1335798284927514
237,1.1437412818387724
238,1.1449496954184326
239,1.1379035131230932
240,1.141463762650124
241,1.1492307387496448
242,1.1477262744859709
243,1.1534103886706149
244,1.1590669706633048
245,1.1604248916997206
246,1.1639702684043098
247,1.1650347798160123
248,1.167236619380711
249,1.1663866205864057
250,1.179433534676884
251,1.1781494823500513
252,1.1863607069122943
253,1.185632603245384
254,1.1828659817979121
255,1.1831452676315168
256,1.1825537650907183
257,1.1793482665625485
258,1.179263930140816
259,1.1772972550829053
260,1.1798527066205395
261,1.1790863430831946
262,1.1652000164935705
263,1.1678029018146223
264,1.170855993330182
265,1.1593273914900473
266,1.158999224490751
267,1.165951493820765
268,1.163039885080033
269,1.163699606908981
270,1.172345296161153
271,1.1675085193295365
272,1.1718040316262388
273,1.1805222285797679
274,1.1802882378423512
275,1.1823923533178164
276,1.1825038816913211
277,1.1874643938401375
278,1.191365432077504
279,1.177611563075528
280,1.182287639855319
281,1.1831702316090487
282,1.1807942506399614
283,1.1805728682736354
284,1.1789721290288546
285,1.1795765709674353
286,1.1771456024688836
287,1.1742451567172525
288,1.1735897127555277
289,1.1702213619447621
290,1.1810653813486898
291,1.1929380422504496
292,1.2071532152984144
293,1.2201693371305784
294,1.2270893866890713
295,1.2333578308980884
296,1.2314357599261043
297,1.2087948287219397
298,1.2166185019515097
299,1.209486544307053
300,1.2093409998550237
301,1.2125790056490282
302,1.2192740535201645
303,1.2207648563635
304,1.2283713984113247
305,1.2505346320087534
306,1.2252022446298594
307,1.2317291241155635
308,1.2243584565409367
309,1.2340537611895952
310,1.240463526936061
311,1.2405966364641214
312,1.2439357454577862
313,1.2520800585769072
314,1.253825183140109
315,1.2420330595817166
316,1.2433379123445276
317,1.2575027153052563
318,1.2517773879836531
319,1.2511403882953938
320,1.263462345892775
321,1.2507522832923041
322,1.2455300220153012
323,1.2301199668220493
324,1.2366965369031147
325,1.232588505572731
326,1.230087801278525
327,1.2333514742878648
328,1.223534752044495
329,1.2327962138821886
330,1.2193950118350603
331,1.2126499576900989
332,1.2038347646319245
333,1.211384704203799
334,1.2030652931215764
335,1.2170436893222154
336,1.2068687156915172
337,1.2109094631474915
338,1.2173261938611495
339,1.2141830735925296
340,1.2176202839247954
341,1.2005074436713699
342,1.1963451482490846
343,1.1697097979164983
344,1.1615164515473753
345,1.1856415873440624
346,1.1722212711761997
347,1.1780142183039932
348,1.178192037075589
349,1.1764980230942852
350,1.1910466955839785
351,1.1966373732601183
352,1.192175062518321
353,1.1885415406378033
354,1.1885558991340646
355,1.1996714891202545
356,1.2105812486319263
357,1.2233446371430605
358,1.2211290534593493
359,1.2314657506809188
360,1.2322290338456743
361,1.2294188480766102
362,1.2241064231003627
363,1.2244317293759015
364,1.2311962385697677
365,1.2220306471514264
366,1.2270246405670906
367,1.231338175115354
368,1.2191956782231137
369,1.2288174049667915
370,1.2258270232864064
371,1.2406693615651092
372,1.233116117118751
373,1.2186057815989935
374,1.2372069839987896
375,1.2351100152122054
376,1.2337169630603593
377,1.2356462572780553
378,1.2372189081730114
379,1.2295362938145211
380,1.216682862977133
381,1.2161523192457886
382,1.2158691675347912
383,1.2113688154698603
384,1.2215278953761364
385,1.2218550256458485
386,1.2217255131382625
387,1.2061914767567905
388,1.216625186695536
389,1.2043074929057282
390,1.2090321368589436
391,1.2050731750947046
392,1.211590326975522
393,1.2171570843982917
394,1.221170669827445
395,1.2148942025138738
396,1.220266388051745
397,1.2215203770200218
398,1.2286705791671988
399,1.2283282746159983
400,1.2280036266574619
401,1.2452625277538216
402,1.24156118661719
403,1.2464067485309438
404,1.2416561079511257
405,1.249713996018031
406,1.2502246632290759
407,1.247898048393152
408,1.2492707734858701
409,1.2423351570146348
410,1.243446320425969
411,1.2386138806324989
412,1.235078409207444
413,1.2364046568279337
414,1.2223568621521461
415,1.2278864835657815
416,1.2297514036576982
417,1.2407623995060253
418,1.2378499950723143
419,1.2545186978757752
420,1.2616643983499285
421,1.262902294737151
422,1.2617199639271277
423,1.2686337046858926
424,1.2651481325148635
425,1.2678842234004128
426,1.2693720212969009
427,1.2734492200917233
428,1.271033964469944
429,1.2719667115474795
430,1.2678314184079755
431,1.2647405342451843
432,1.263142935359137
433,1.261389788912263
434,1.2594695565337317
435,1.2485736708939306
436,1.2492737370627531
437,1.2523777914676961
438,1.2605060328356061
439,1.258944390423784
440,1.2655317434087623
441,1.2761822819611188
442,1.2630177893396155
443,1.2615536385022827
444,1.2723187823937234
445,1.2809920898856797
446,1.2773509427105103
447,1.276455710355898
448,1.2794216765343733
449,1.2894175222667643
450,1.276550068096036
451,1.2769217181786399
452,1.2764177345934626
453,1.2708685899816987
454,1.2756954468944186
455,1.2811408240656414
456,1.282991060258423
457,1.2751463583376568
458,1.2682283246196122
459,1.2711415592358766
460,1.2767112367096098
461,1.2752906442849148
462,1.2791013869661907
463,1.280957801597891
464,1.2848454309496997
465,1.2772064834694652
466,1.288409869529128
467,1.2826455297881298
468,1.2938586298248134
469,1.288499206944063
470,1.2933769036483682
471,1.293485979129966
472,1.2873893097520372
473,1.2952477444892945
474,1.2871057003895436
475,1.2959208566643416
476,1.300415019719848
477,1.3005615446438563
478,1.303774244196945
479,1.3037002637732014
480,1.301605187033755
481,1.2880109616944209
482,1.2812049048377974
483,1.287046756789083
484,1.2874654345326748
485,1.2795949014831889
486,1.2773856067770222
487,1.2702382638258398
488,1.2617615592129607
489,1.264590903187253
490,1.2704973161388864
491,1.28219485892428
492,1.283847625277498
493,1.2863124804415835
494,1.2865017998743868
495,1.2880132350078068
496,1.2914451154578952
497,1.291317612083791
498,1.2892130238270658
