,Final Portfolio Value
0,0.9994006905056894
1,1.0003361720165234
2,1.0042575854383964
3,1.0173407672632648
4,1.0158515986324297
5,1.0200536440175747
6,1.0196239165977776
7,1.02535140081556
8,1.0286466223994788
9,1.027336958990007
10,1.0302655754818308
11,1.0286828747584553
12,1.037886024144186
13,1.0385981712681371
14,1.0429726502211116
15,1.044274718981215
16,1.0466134138368868
17,1.0483832144309941
18,1.0490953615549454
19,1.0482171776205012
20,1.0510160096608083
21,1.0477781034961047
22,1.0515621199742664
23,1.0508499728503151
24,1.0549795313603332
25,1.0676492913694906
26,1.069034058063765
27,1.0722647176657882
28,1.0784269760988243
29,1.0800238414064465
30,1.0833480687866612
31,1.079462577479902
32,1.078876243439439
33,1.0774049704967719
34,1.0790453347260507
35,1.0766130720921872
36,1.0739556066608713
37,1.0754273894470097
38,1.0770955976719283
39,1.0796464268265993
40,1.0791351960709386
41,1.0800437556956723
42,1.0830873511126151
43,1.0843970145220871
44,1.0854010115400194
45,1.0869977649980378
46,1.0862929483186365
47,1.085395028799562
48,1.0898926435438776
49,1.0959672580093078
50,1.0939181169978796
51,1.0917751198417982
52,1.0907248924787227
53,1.093263407654868
54,1.0860401219388731
55,1.087169039452534
56,1.0776218331910572
57,1.0719932178289
58,1.0658104028593454
59,1.0654829198552054
60,1.0744906396013723
61,1.0736365340808636
62,1.0674138511190079
63,1.0739880865833786
64,1.0762719686729667
65,1.0790945007139747
66,1.0801902110014574
67,1.079749563846502
68,1.0792272432343863
69,1.0805645225925253
70,1.0813403345640626
71,1.0870867655052963
72,1.0821132482081302
73,1.0813983525851243
74,1.0688287156030731
75,1.067678589449696
76,1.058877929132501
77,1.057365453814584
78,1.0567103880911437
79,1.0484271106331244
80,1.0448439852111377
81,1.046945152771567
82,1.037326556327991
83,1.029931913790769
84,1.029931913790769
85,1.030629425181119
86,1.0272573250219144
87,1.029627281327226
88,1.0265239933034556
89,1.0291205736946316
90,1.02636747898105
91,1.0209550587912581
92,1.0233271924468479
93,1.0238513361579007
94,1.0155190683633544
95,1.0263030856198947
96,1.030836656678551
97,1.0255871899798934
98,1.0266819762363881
99,1.0294657310115685
100,1.0282119411774517
101,1.0262703551167978
102,1.026172199303966
103,1.0286143536624646
104,1.0449411406560045
105,1.0446344458206411
106,1.0315109187377762
107,1.0363252067518645
108,1.0358573332606578
109,1.0346081388197153
110,1.0302335891869108
111,1.027075539188411
112,1.0349732611049163
113,1.0381640059100536
114,1.0381313111034158
115,1.0332035546849914
116,1.0308650572821192
117,1.0320609242534746
118,1.0331202226947571
119,1.031093356884379
120,1.030064919535469
121,1.0305954745057309
122,1.0314972617830533
123,1.0362495379473988
124,1.0362176201864803
125,1.0327605073949193
126,1.0313280142673578
127,1.0260329943245945
128,1.0252812967928475
129,1.026451578537781
130,1.0334145654933484
131,1.0369797341105151
132,1.0402181810097966
133,1.0361074675677542
134,1.0288988615712644
135,1.0292067772812312
136,1.0439834927923866
137,1.0456346340029457
138,1.0434506437569353
139,1.0447578450578983
140,1.043418725996017
141,1.04472592729698
142,1.0436988303837764
143,1.0425169031001302
144,1.0455686374866149
145,1.0500964283002925
146,1.0527770278318473
147,1.0535535410918533
148,1.0551814198077967
149,1.055749421524462
