,Final Portfolio Value
0,0.9997043211491006
1,1.0003119533336564
2,1.0034125914152847
3,1.0189348819941544
4,1.0174140829565241
5,1.0206970025807849
6,1.0200664366084848
7,1.024524697396883
8,1.0274031075516632
9,1.0265524294470567
10,1.028639189913978
11,1.0270576380885497
12,1.0382517640147855
13,1.0390833484972395
14,1.0444396406775724
15,1.0458389109603676
16,1.0473579856269477
17,1.049061066207211
18,1.049892650689665
19,1.04969125234564
20,1.0520627294878768
21,1.0495905647632475
22,1.05352450010876
23,1.0526929156263058
24,1.0566667857664134
25,1.0711581881821028
26,1.0726071337090333
27,1.0750718979517278
28,1.0803566595290102
29,1.0821265331056438
30,1.0846520733153757
31,1.081761970020378
32,1.0811979612817646
33,1.079380597817315
34,1.08081240241277
35,1.0792325517791526
36,1.075857968416283
37,1.0756730971560953
38,1.079046515444051
39,1.080886541339574
40,1.0809208000232844
41,1.0838149779731192
42,1.0861582366402183
43,1.0870089147448248
44,1.0874778888326904
45,1.0892476897585892
46,1.0884235602426569
47,1.086741356309261
48,1.0903953811990472
49,1.0983584112164098
50,1.0951856966808025
51,1.092474448614279
52,1.0915590937246549
53,1.094673252574996
54,1.087783503754666
55,1.089249426759311
56,1.0793058688054846
57,1.0725476519936405
58,1.0647004824906106
59,1.0652197268973331
60,1.0754126456903677
61,1.0754099533353136
62,1.066965692229786
63,1.075839409415081
64,1.0782761441836641
65,1.0808456007562908
66,1.0813732802221865
67,1.0812710901300837
68,1.0805637669920225
69,1.0816164103825916
70,1.0823043585325534
71,1.0888182727358842
72,1.083896281787442
73,1.0829031117912553
74,1.0683411897581672
75,1.067410109764992
76,1.0574281671300232
77,1.0557096441347311
78,1.0552841530780377
79,1.0463008938246623
80,1.043789484724511
81,1.046074414216184
82,1.034822084101442
83,1.0263646642596038
84,1.0263646642596038
85,1.0277378636367709
86,1.0238410965006433
87,1.026852697807054
88,1.0241008791362378
89,1.0267178352210387
90,1.0263079766387506
91,1.020727710095
92,1.022454579498406
93,1.0220507318748235
94,1.0120422512825464
95,1.024223724296521
96,1.028470982145381
97,1.0239447967225175
98,1.0250280534619953
99,1.0277665867009442
100,1.0262079010270793
101,1.024016389626452
102,1.023394408802505
103,1.0260971339963567
104,1.0462734381812255
105,1.0459249983508039
106,1.0306394005462953
107,1.0350689951435528
108,1.0347650928341374
