,Final Portfolio Value
0,0.9991239406950787
1,0.9998960082280208
2,1.0032993663002356
3,1.0182333050361079
4,1.0168373166591573
5,1.0204722846830805
6,1.0198344104049046
7,1.0247839983726075
8,1.0277262019190823
9,1.0266453162085414
10,1.0291180006368257
11,1.0276448187599483
12,1.0385994520269928
13,1.0392985009932516
14,1.0444989205599535
15,1.0457404924851228
16,1.0476706539544969
17,1.0492982522831555
18,1.0499973012494141
19,1.0493838251014966
20,1.051860699188988
21,1.0490771017535012
22,1.052645320973588
23,1.0519462720073294
24,1.0557440210754843
25,1.0700386562659254
26,1.0713472614467667
27,1.0741240657514655
28,1.0795965903795275
29,1.081135489050323
30,1.0839895163068758
31,1.0806722691469066
32,1.080133113301463
33,1.0779500755274585
34,1.0794143841699078
35,1.0774069997486801
36,1.0747165452723322
37,1.075028216214735
38,1.0773683196872283
39,1.0795288040984832
40,1.07921736772334
41,1.0813028626267784
42,1.0839252799316228
43,1.0850061656421637
44,1.0857795349108965
45,1.0873183412704635
46,1.0866261546640126
47,1.0855536165230961
48,1.0894865491061974
49,1.0969794982040564
50,1.093942159999297
51,1.0913393650628476
52,1.0906885312184496
53,1.0932255690027943
54,1.0866011360279528
55,1.0877538300601262
56,1.0777504947396699
57,1.071569617598469
58,1.064166195528937
59,1.0647846554112772
60,1.0746599720743866
61,1.0741215845934322
62,1.0665675039973477
63,1.0748540783954383
64,1.0770265251372566
65,1.0795780305732994
66,1.080426831032331
67,1.0801186644295484
68,1.079576572270743
69,1.080735756247122
70,1.081431552401315
71,1.0878719071668008
72,1.0834887380393472
73,1.0820167288270048
74,1.068145534712162
75,1.0671408112049738
76,1.0572413465171213
77,1.0557710513995056
78,1.0552304154049355
79,1.0462986092228799
80,1.0432858933382783
81,1.0452975517689458
82,1.0343774146719906
83,1.0265724785442631
84,1.0265724785442631
85,1.0274256775678963
86,1.0237462362278522
87,1.0261462493902067
88,1.0233630316472289
89,1.0257866495413837
90,1.02469361812188
91,1.0192903779753821
92,1.0213042609008953
93,1.021512349344718
94,1.0116679410476515
95,1.0235336850417456
96,1.0276681794337046
97,1.0229989690561219
98,1.0240147610714514
99,1.026592856914357
100,1.0253335889753363
101,1.0234505481540588
102,1.0232011669518446
103,1.0255534585153587
104,1.0450368623481734
105,1.0445478797434036
106,1.0294418275098725
107,1.0338080019988996
108,1.0334218586835036
109,1.0323347550679567
110,1.028443751330112
111,1.0255567437809743
112,1.032299352857665
113,1.035269467833643
114,1.0351863604068026
115,1.0310075692876544
116,1.0289098158516632
117,1.0307380773739525
118,1.031836006194234
119,1.0300513654983183
120,1.0290348251297745
121,1.0294167821417504
122,1.0301051229872291
123,1.035781316482125
124,1.0356990559452979
125,1.0326780917205802
126,1.0314399144120152
127,1.0267902600303596
128,1.0258343624369168
129,1.0257613099553375
130,1.0330463582278604
131,1.0376347596163542
132,1.040419337148472
133,1.0368589460768283
134,1.0300939216830014
135,1.0279982249924684
136,1.0448264790662383
137,1.046301028369124
138,1.0451910006567415
139,1.0462698543505935
140,1.0451087401199146
141,1.0461875938137664
142,1.0453399146552949
143,1.0444203698778771
144,1.0470508506507803
145,1.0519943665280729
146,1.0544862988237456
147,1.0550153307527905
148,1.0563176400811205
149,1.0564475459326004
150,1.05723890775411
151,1.0596073364706122
152,1.0603675723315957
153,1.0590575147058054
154,1.0546340112613863
155,1.0584566057119917
156,1.0580788110671049
157,1.059097574889066
158,1.0583043965748447
159,1.0785424596495228
160,1.0758023380768895
161,1.0797131295658247
162,1.080652737986179
163,1.0912589962831232
164,1.098846285977317
165,1.098615126273862
166,1.101588113680061
167,1.0980772597932094
168,1.0962056895095822
169,1.095197938515345
170,1.09364347750094
171,1.0828950034793183
172,1.0901991071524544
173,1.0874152328520545
174,1.089909462893629
175,1.0912157309977317
176,1.0901647711190237
