,Final Portfolio Value
0,0.9991577044589132
1,0.9999543233959756
2,1.0033900051460523
3,1.018316171185314
4,1.0169516925939028
5,1.0206263493891283
6,1.0199741743665525
7,1.0249799549033505
8,1.0279145170872408
9,1.0267992596918987
10,1.0293252738534588
11,1.0278811470431597
12,1.038894181724048
13,1.0395648590731732
14,1.0447838527097981
15,1.0459890044749485
16,1.0479805442204835
17,1.0495839978570438
18,1.0502546752061688
19,1.0495710897263182
20,1.0520508257130714
21,1.049229312180635
22,1.0527085949314707
23,1.0520379175823455
24,1.0557793296599762
25,1.0701341658732184
26,1.0714090365479942
27,1.074223910281932
28,1.0796946477652043
29,1.0811820193042339
30,1.0840765716455445
31,1.0807040692139358
32,1.080172884308675
33,1.0778697542870959
34,1.0793303955805427
35,1.077259177227635
36,1.0747092102018807
37,1.0750541112460004
38,1.0772195718321023
39,1.079423642830376
40,1.0790520712045488
41,1.0810405461714672
42,1.083696123467629
43,1.084811380862971
44,1.0856344587866857
45,1.087121735079031
46,1.0864577689588761
47,1.0855018197196171
48,1.0894593543844615
49,1.0969416559430165
50,1.093871960985144
51,1.0912634064178102
52,1.090692035096965
53,1.0931088227043955
54,1.0865751259825174
55,1.0876640117472063
56,1.077618713001611
57,1.0715238148627257
58,1.0641375829458326
59,1.064834433591993
60,1.0746978675301884
61,1.0740666557448137
62,1.0666162866157904
63,1.074885775940363
64,1.0769965902562322
65,1.0795282940008477
66,1.0804293205442537
67,1.0800861197732434
68,1.0795772585395913
69,1.0807480694434604
70,1.0814407569985196
71,1.0879090674939749
72,1.08367365528698
73,1.082055269847916
74,1.0682468378521257
75,1.0672353991916614
76,1.0572846140300893
77,1.0558685026110881
78,1.0553106746323737
79,1.0463486265913882
80,1.0432653422890938
81,1.045214797526359
82,1.0342830108245393
83,1.0265881140857798
84,1.0265881140857798
85,1.0273422714221672
86,1.023688911155728
87,1.025963366810393
88,1.0231925824105508
89,1.0255656935834585
90,1.0244307163261457
91,1.0190640970846456
92,1.0211165052529407
93,1.0214332721704915
94,1.011529455287031
95,1.0233970782364759
96,1.0274844403419063
97,1.022819843181915
98,1.0238169062546048
99,1.0263494077063195
100,1.025152156960755
101,1.023336812971185
102,1.0231560475730004
103,1.0254300489312365
104,1.0449640657101917
105,1.044434540240454
106,1.02924278895775
107,1.0335691984842807
108,1.0331707759832176
109,1.0320746182947003
110,1.0281874590609887
111,1.0253362226481921
112,1.0321911823405319
113,1.035102653620931
114,1.0350424187533283
115,1.0307815876867117
116,1.0286933922515655
117,1.0306034212618438
118,1.0316345762275723
119,1.0298440285026929
120,1.0288714282295988
121,1.0292909531803207
122,1.0300266048341673
123,1.035680844926543
124,1.0356213904169014
125,1.0325806265006052
126,1.0313284975800534
127,1.026658095635626
128,1.0258243321779037
129,1.0258246084765557
130,1.0330574781012722
131,1.0376195697781911
132,1.040441851885877
133,1.0368445075888677
134,1.0299801779281779
135,1.0280550335981662
136,1.0448894224556389
137,1.0463600180191235
138,1.0452115433547153
139,1.0463247041161412
140,1.0451520888450736
141,1.0462652496064995
142,1.0453906146278489
143,1.0444164068598711
144,1.0470796919999439
145,1.0520284920395362
146,1.0544725572954337
147,1.0550692559558323
148,1.0564978201817943
149,1.0566631418051422
150,1.0573779810779036
151,1.0596925157407242
152,1.060527770515254
153,1.0591760536396968
154,1.0547514624908685
155,1.0586354511167082
156,1.0582200945746179
157,1.0592018292679124
158,1.0584600728227507
159,1.078786522213695
160,1.0760464594109518
161,1.0800070112585272
162,1.0809731682818602
163,1.0916703146530127
164,1.0992271084526353
165,1.098922648489899
166,1.101836886399917
167,1.0983676780944132
168,1.0965474199622798
169,1.0955331711302334
170,1.0939803753381079
171,1.0832397864844028
172,1.090550735011304
173,1.08772943113755
174,1.0902007838027965
175,1.0915485906515618
176,1.0904831859929036
177,1.093558749116239
178,1.0939223355938736
179,1.0870699109286406
180,1.081010757600532
181,1.0828480553956785
182,1.083323894532294
183,1.0870774134213734
184,1.0891558832087398
185,1.0906626920151834
186,1.0963476710210929
187,1.0964731929188658
188,1.0988654371983195
189,1.1002729120567765
190,1.1006528990967401
191,1.0869278201806414
192,1.0880380812470662
193,1.0870898848251696
194,1.0931463284684466
195,1.0926534230793947
196,1.0916224534095667
197,1.0877848719676608
198,1.0886241374441847
199,1.0867077020490017
200,1.0765810108277787
201,1.0768651155187452
202,1.074751699221647
203,1.0682821471382957
204,1.0707999133155224
205,1.072019135579665
206,1.0836401560533648
207,1.0829194978950518
208,1.0823643673618395
209,1.0844116720395798
210,1.0936116247627885
211,1.09300714677875
212,1.1032598329527314
213,1.1048489501165637
214,1.1022616043952733
215,1.1017057275550592
216,1.1088070897989866
217,1.1038346200599891
218,1.1058472364088132
219,1.106071493703144
220,1.1069389504294767
221,1.1084205878120708
222,1.1139188379789688
223,1.1156247029089175
224,1.124672141599579
225,1.1189437640610949
226,1.1239155328151313
227,1.1253918772961615
228,1.1244561266708752
229,1.1268344299740871
230,1.1276353885481907
231,1.1317038512175026
232,1.129663238427447
233,1.1329844298029232
234,1.1250371418309197
235,1.1243636773454821
236,1.137618382996314
237,1.1468454771077516
238,1.1473257035930144
239,1.1411662245703014
240,1.1444516585631894
241,1.1510478418817507
242,1.14950027838259
243,1.155795027928388
244,1.1608532077199065
245,1.1616970963557844
246,1.1645708935848584
247,1.165892105317068
248,1.168134663336447
249,1.1672077377495893
250,1.179965517195198
251,1.1773582409412793
252,1.1860433719450765
253,1.184330563289379
254,1.180970247101841
255,1.181273900148062
256,1.180583479774397
257,1.1779911034207498
258,1.1772567778250034
259,1.1756585703886406
260,1.1781887377275173
261,1.176672696481233
262,1.1631082924253002
263,1.1660440487582446
264,1.167878473309665
265,1.1574342142466976
266,1.1580228848080927
267,1.1640274966936954
268,1.1607759630039158
269,1.1612280980828251
270,1.1697362069444848
271,1.1649765680677873
272,1.1694477430903447
273,1.1767966427100411
274,1.1760755082507879
275,1.177903370282352
276,1.1775638247461515
277,1.1828819128629544
278,1.1869703959285354
279,1.1738731188928033
280,1.1774955438557297
281,1.1784213807424344
282,1.1771881394597792
283,1.1758853202834827
284,1.17492393622354
285,1.1748769796885548
286,1.1729106681616266
287,1.1704101043710788
288,1.170023010457561
289,1.1667457247515007
290,1.1773303445392227
291,1.1880350764391685
292,1.2002072001522497
293,1.212444162782036
294,1.2190159031991032
295,1.2255564879595544
296,1.2237288345941795
297,1.2024773273936875
298,1.2110396262716852
299,1.2029391675800454
300,1.202863034490351
301,1.205681526006283
302,1.211633096330591
303,1.213070407725021
304,1.2204217036869787
305,1.241999536002264
306,1.217936709717672
307,1.2247507932327846
308,1.2182277260659187
309,1.2269336926549022
310,1.2325460893268714
311,1.233633073185073
312,1.2363028251546322
313,1.242433293118865
314,1.2440754985597253
315,1.2325376237449868
316,1.2331903362347305
317,1.2472658607821867
318,1.241098369735778
319,1.2406545419107746
320,1.252876952959975
321,1.2398825498851611
322,1.2360462453076184
323,1.2213286676747726
324,1.2267110426687293
325,1.2229325283146504
326,1.2217836545776093
327,1.224775702570182
328,1.2159669439795073
329,1.2255178014177985
330,1.2121068718652754
331,1.207304841873305
332,1.1989924217964825
333,1.2059903009595758
334,1.1988264367768284
335,1.2133125407573624
336,1.2048057058228103
337,1.208471781713003
338,1.2144138504102546
339,1.2114262964269302
340,1.2130229158489145
341,1.195325475940303
342,1.1906235493115778
343,1.1646277303969972
344,1.1559135727555971
345,1.180261477958545
346,1.168598949109711
347,1.1726442114269926
348,1.1732049409972065
349,1.1709519818083802
350,1.1849971584447119
351,1.1888353265080862
352,1.1848691274750704
353,1.1811772421677527
354,1.181503204581103
355,1.1942097364362694
356,1.2043219636946658
357,1.2171107297001185
358,1.2148342623625306
359,1.2248622243914091
360,1.225958477399089
361,1.222967590701551
362,1.2179045347376756
363,1.2176575531846885
364,1.2245214601505054
365,1.2160721444357814
366,1.221671666679532
367,1.225729528585959
368,1.2143707504353713
369,1.2220572643160885
370,1.2202050994124414
371,1.2345099275252387
372,1.227744854069706
373,1.2147709181696142
374,1.2332995899893087
375,1.2308985332538185
376,1.2293221043441516
377,1.2302609801840663
378,1.2313656111888247
379,1.2247510536176638
380,1.2120710082339432
381,1.2116143637020773
382,1.2121237124423148
383,1.2071660721156412
384,1.217094230212243
385,1.217564065731529
386,1.2175074269354798
387,1.2025609147791365
388,1.2123090443353803
389,1.1998654658185623
390,1.2042965187552401
391,1.1998221535005196
392,1.206153234022642
393,1.2103085283151442
394,1.2149137714516294
395,1.2095904440498817
396,1.2142770853191756
397,1.216078106541112
398,1.223014747335918
399,1.2225793634819946
400,1.2224947737141585
401,1.2415658304532229
402,1.2373039495469362
403,1.241507637501353
404,1.2367695750416878
405,1.2451708118890477
406,1.245298434815647
407,1.2433697032878122
408,1.2444094176056946
409,1.2380770198475564
410,1.2387811874959809
411,1.2345113982659266
412,1.2307338806581212
413,1.2323065105383348
414,1.2195492161265613
415,1.2244842390070227
416,1.2259873052667156
417,1.2369473038445948
418,1.2334770964994908
419,1.2497992520323116
420,1.258194267393259
421,1.2594960615581108
422,1.2581077675280439
423,1.2659498937419025
424,1.2623523666518872
425,1.2651832727881782
426,1.266550977580957
427,1.2701894664363897
428,1.2680151065489624
429,1.2683334142484632
430,1.262833676375371
431,1.259056693523666
432,1.2568999454200622
433,1.2556361893641772
434,1.253652263903754
435,1.2427747442240078
436,1.2437802028514005
437,1.246420906808107
438,1.2545573778410328
439,1.2535990515404385
440,1.259579133500157
441,1.2703028529226423
442,1.2576319607554394
443,1.2553832139520495
444,1.265862252564005
445,1.2743783221814085
446,1.2704900556325216
447,1.2701383532897168
448,1.2727853707119552
449,1.2825664836703425
450,1.2695728241519157
451,1.2700171861693357
452,1.2694027540176118
453,1.2645128527316283
454,1.2698759511113202
455,1.2749274000914015
456,1.27682007918456
457,1.2695637893327558
458,1.2622360688594163
459,1.2651989961054484
460,1.2710819281112635
461,1.2693886575165378
462,1.2728735680950696
463,1.2739551364733235
464,1.2777351639500067
465,1.270442408450318
466,1.2810945055467127
467,1.2756940215995791
468,1.2861138754522778
469,1.2817499971308743
470,1.286241363774255
471,1.2858155851606994
472,1.2801921312814448
473,1.2884742250431092
474,1.281372429081129
475,1.2887488940582172
476,1.2928806406737792
477,1.29236574799979
478,1.2959623075997562
479,1.295637999247841
480,1.2942714671650535
481,1.2813401248579066
482,1.2748289843663032
483,1.2805078959618375
484,1.2802510035946009
485,1.272901982078055
486,1.2705429386745677
487,1.263264909843086
488,1.255961313516152
489,1.2586145170933842
490,1.264764445955441
491,1.2764618264808065
492,1.2778105284169061
493,1.27964341200068
494,1.2810820785478307
495,1.2825736770609115
496,1.2862950118539827
497,1.2859689014450364
498,1.2840669808803293
499,1.2867191156036788
500,1.2922822055879915
501,1.2947415380181686
502,1.2918114104565857
503,1.287976432593539
504,1.299655935192457
505,1.2895423605393437
506,1.293156715322344
507,1.298921244789908
508,1.3029312037644034
509,1.3013643466677416
510,1.2988427990997617
511,1.2958695707867662
512,1.2970202545275604
513,1.2930035745789303
514,1.2876573272973033
515,1.2862525678728933
516,1.2901374821384441
517,1.295360735626966
518,1.2890768034303426
519,1.2907166932167036
520,1.2943649806826845
521,1.2987781506831044
522,1.2893213281356928
523,1.288795206212186
524,1.3010062406377205
525,1.3037985955812132
526,1.3067804555707427
527,1.2988215819541615
528,1.300292190981841
529,1.2920972022950103
530,1.2992330245851131
531,1.2950261791943105
532,1.299302813596338
533,1.2924114245369502
534,1.2954697168366733
535,1.2924196735180753
536,1.3031269652979305
537,1.3063957390797956
538,1.3051862479913292
539,1.3081473199020408
540,1.3069705801866678
541,1.3091480332538104
542,1.3068780781437415
543,1.3018094768951718
544,1.2976247781175183
545,1.3068259440563328
546,1.3033024327977094
547,1.2953055075336315
548,1.3032678813306262
549,1.2986770916493149
550,1.2991831129744273
551,1.2970235601286328
552,1.3004901486476912
553,1.2958437844429957
554,1.2910684611133536
555,1.2913013415791237
556,1.293977666425442
557,1.2959644964909218
558,1.2929572555643465
559,1.2950377148820889
560,1.3006656908758678
561,1.3035702016938904
562,1.303616297497717
563,1.3046798034559781
564,1.3047580283945108
565,1.3086314611585645
566,1.3100305624354174
567,1.3138776607504403
568,1.3151343996388851
569,1.314626629855294
570,1.3102238510315989
571,1.308534566460266
572,1.305549528614221
573,1.3053598343204973
574,1.3061997374691259
575,1.306499228478712
576,1.3111180059861935
577,1.3151326408291093
578,1.3150860227624772
579,1.314603235097012
580,1.3110140846453704
581,1.3054659766159653
582,1.30609754487911
583,1.3075416203057915
584,1.3098068990623668
585,1.313458021229756
586,1.3147479844089136
587,1.316402752922047
588,1.3128743075802134
589,1.3039709709831606
590,1.3093532416219924
591,1.30254735418499
592,1.304969133003545
593,1.3080754963083472
594,1.3094432459599834
595,1.3098697978219915
596,1.302519291949259
597,1.3099848956101037
598,1.3112687180404725
599,1.311445048371082
600,1.311655456556944
601,1.3096847609736348
602,1.3085363291461498
603,1.3076835473955066
604,1.3036461170095033
605,1.296093492157125
606,1.2939232426362435
607,1.2993861992815021
608,1.2907457171455934
609,1.2887081941360556
610,1.2869433622924775
611,1.2900333888095332
612,1.2934274644689017
613,1.2899795089940502
614,1.2930416554260695
615,1.2965604648649363
616,1.2983436246477797
617,1.3022944297464683
618,1.3038842374610997
619,1.3042039807320396
620,1.311562349549024
621,1.3061930896475753
622,1.3112464911783264
623,1.3142117281285242
624,1.3158589789429156
625,1.3165058115608665
626,1.3170279702858232
627,1.3149087043974819
628,1.319167666470086
629,1.3145990258135307
630,1.3117395466856367
631,1.305961791082132
632,1.30828681699716
633,1.3076403094190177
634,1.303539112152598
635,1.3052695904654221
636,1.3101657434220624
637,1.3054632899343777
638,1.3133525600444287
639,1.3149141243575222
640,1.3168728080444625
641,1.3156781853098514
642,1.3111285497896046
643,1.3102369182244358
644,1.3079877047016777
645,1.3068169677628103
646,1.3055695761888937
647,1.3004301321498697
648,1.300280032957082
649,1.3018236838609951
650,1.2988766348955663
651,1.3071492878261062
652,1.2902512973181917
653,1.2845699137698174
654,1.2767249956961078
655,1.282343814781519
656,1.2803989336577493
657,1.2840517179587854
658,1.2912493778579412
659,1.2978656857998125
660,1.2931820495474027
661,1.2928321971086416
662,1.2973109933193772
663,1.3019226001094704
664,1.3102238244437294
665,1.308558697934547
666,1.3100404884209957
667,1.320228288386928
668,1.3282302374346822
669,1.3301249398344805
670,1.3281453977844453
671,1.3311844578824688
672,1.3334751822893478
673,1.3371916625735965
674,1.3398601089964433
675,1.337041833847787
676,1.3414254007547162
677,1.3445794274969294
678,1.349273550642289
679,1.3459042383101765
680,1.353455084769577
681,1.3582970957589353
682,1.3587037982288743
683,1.3656916562310921
684,1.3638571501725982
685,1.3653514861649358
686,1.3610040844483644
687,1.3654878768720788
688,1.3694078423290246
689,1.3708616651984933
690,1.3691605210616262
691,1.369123699515427
692,1.3629656673675687
693,1.3573019128992367
694,1.3494694314791835
695,1.3436201347205552
696,1.3358927062916053
697,1.3279419550114926
698,1.347405994052537
699,1.3535755700782777
700,1.3585709080337045
701,1.3645922123147278
702,1.3664700225799353
703,1.3647437556544313
704,1.361372247690426
705,1.3446559694636595
706,1.3354446869089673
707,1.3356694420670974
708,1.345872967860716
709,1.338594999856898
710,1.3322748599168297
711,1.327793071425543
712,1.321094580973106
