,Final Portfolio Value
0,1.0027277570115662
1,1.0071599528835948
2,1.0002139579951654
3,1.0079934935922124
4,1.0004974403090963
5,1.008504285856242
6,1.010229968422394
7,1.0080043086529369
8,1.009345191295943
9,1.0076631496654462
10,1.0084080712045518
11,1.019905590716939
12,1.0228148124418337
13,1.0240348344011672
14,1.0282478347297774
15,1.0295736037691592
16,1.0281325769731038
17,1.0289471489689195
18,1.0326367318948155
19,1.036122914216831
20,1.0305108650189068
21,1.02879246126975
22,1.040461885829469
23,1.0410556216303497
24,1.0436484225974914
25,1.0422095461503253
26,1.0367653423158443
27,1.0423550031577373
28,1.0405562447503778
29,1.042577368764361
30,1.0408919944733128
31,1.0364825948889334
32,1.0428291725272472
33,1.0449805808256787
34,1.044146879576561
35,1.0452933741905697
36,1.0511622825629718
37,1.0519838652505438
38,1.049024874964383
39,1.0432080500031005
40,1.0391812766209652
41,1.0368846048219753
42,1.0394849873273841
43,1.0394686098819321
44,1.0390355130985331
45,1.0400795278739638
46,1.035797324493577
47,1.0307234589718048
48,1.035278165620336
49,1.0371273559958134
50,1.037401311230571
51,1.0375999551596047
52,1.030459004595003
53,1.0283344444558433
54,1.022805085766162
55,1.0159085405433133
56,1.0091669313433453
57,1.0141798600112273
58,1.0136224069903688
59,1.0138116678114346
60,1.0165633573626847
61,1.0210789825224584
62,1.019962136346812
63,1.0207087671052548
64,1.0267893231650915
65,1.0260276482405988
66,1.03135496650792
67,1.036110345262752
68,1.0379955469928785
69,1.0410549988723916
70,1.0348185747095806
71,1.0260157252237456
72,1.023689350729215
73,1.0208997678729168
74,1.0221291133223336
75,1.0220665679606342
76,1.0237317581856629
77,1.022059742412482
78,1.0254394162902885
79,1.0228683019230802
80,1.033020155713921
81,1.0251392062743614
82,1.028412383761023
83,1.036618564417031
84,1.0357880659987817
85,1.0474985750937496
86,1.0531059301415007
87,1.0523272036930575
88,1.0552357346186234
89,1.0521070777857588
90,1.0580680502110982
91,1.0628468503508157
92,1.0591351952306391
93,1.0646236443892683
94,1.0647826052854736
95,1.064316922781515
96,1.0637246692911724
97,1.062518879600908
98,1.0655328371334165
99,1.063708147329513
100,1.067268113931511
101,1.0679901364370548
102,1.0701799163583865
103,1.0750060549107852
104,1.0791179955289838
105,1.0817479097570948
106,1.0826055140871078
107,1.075829113547936
108,1.073365287946896
109,1.0803219791371177
110,1.0827552571926127
111,1.0852125421937016
112,1.0966651426435585
113,1.1012190122432393
114,1.1040282769414507
115,1.1055148279491935
116,1.108723477689417
117,1.10578619422749
118,1.1040607597636345
119,1.1037786946872596
120,1.102752909177625
121,1.1019679636369801
122,1.101363979970559
123,1.0957244067423333
124,1.0950029980798932
125,1.0921705173449516
126,1.0922923174918582
127,1.0892843153484177
128,1.0853104323997136
129,1.085446979208076
130,1.0890097059767967
131,1.0941641189247142
132,1.092642442944881
133,1.0839313957882266
134,1.0797460814774928
135,1.0826096942528418
136,1.0847505494910856
137,1.0830160583953399
138,1.077585234631604
139,1.081392438088798
140,1.0867885011484821
141,1.0884522026623864
142,1.0955977792099145
143,1.0981285993068668
144,1.0947114646740501
145,1.0910862563924697
146,1.0924064436918226
147,1.0892710853952279
148,1.0952309542332954
149,1.09724728759767
150,1.0974144312922753
151,1.0981965614167206
152,1.1036225645100441
153,1.1061680644542922
154,1.1054855370826924
155,1.1003301862766675
156,1.1007297160025953
157,1.1016825656784963
158,1.0997131592642204
159,1.098394405769261
160,1.0988499027438
161,1.1004191927192528
162,1.0975141136122857
163,1.0990826069111062
164,1.1011403772441228
165,1.0953531176638929
166,1.0960277963905543
167,1.0978018683086357
168,1.0966826680304493
169,1.0987447175323242
170,1.0959299705246313
171,1.086893690841756
172,1.0835509316794711
173,1.0888278515477716
174,1.0904632299264825
175,1.0831795159164082
176,1.0736827617954805
177,1.0678349551605144
178,1.062873977818765
179,1.0650121332569629
180,1.0578274692562017
181,1.0563881843252456
182,1.055360032648644
183,1.0522052698118278
184,1.0562854286731997
185,1.0490029752835106
186,1.050508966073315
187,1.0512161819151653
188,1.0520827691084398
189,1.047749287701948
190,1.0427225143771326
191,1.0441564356647164
192,1.0513187287338353
193,1.052000274301215
194,1.0673890021924244
195,1.0616642706229613
196,1.0589492563722849
197,1.057693189641478
198,1.0642085042188578
199,1.0606108234396046
200,1.0593904490595225
201,1.0615946001701921
202,1.0649447368579716
203,1.0646759388677407
204,1.0644030568934242
205,1.0672730167293571
206,1.0697573672345406
207,1.067534359644494
208,1.0740021153277464
209,1.0747073736693264
210,1.0685208159706416
211,1.0718993041838982
212,1.0746018918770388
213,1.0746131694307404
214,1.081141908812609
215,1.081699686830696
216,1.083785756206822
217,1.085777024688758
218,1.0842674960882184
219,1.0795474560000038
220,1.0799353694656113
221,1.0750564763109396
222,1.0775409235466697
223,1.0758701260317673
224,1.076031988108112
225,1.0761241654223008
226,1.0718660247289036
227,1.0741314400169308
228,1.0702977111273957
229,1.0729785038717958
230,1.0706154112487123
231,1.0790588071816032
232,1.0771376986892256
233,1.0728589472724512
234,1.0699261086704195
235,1.0705987034039888
236,1.0714998132399975
237,1.070638646821452
238,1.070706488344071
239,1.0700217844313462
240,1.0698641826810713
241,1.0738582675998298
242,1.0746187215845608
243,1.0744135180671424
244,1.0756740200555384
245,1.0751927074276548
246,1.0747202686159274
247,1.0793800020550262
248,1.0799325562115856
249,1.0847206037164863
250,1.0812551608373577
251,1.0847980346287134
252,1.0849290752546805
253,1.086551388442503
254,1.0832486124680727
255,1.0856976286967348
256,1.0886023452853224
257,1.0869641805620522
258,1.08675950696559
259,1.0902191188310453
260,1.0907590712885693
261,1.0907895087701214
262,1.0902848619582404
263,1.0876681693237265
264,1.0885023964700888
265,1.087768442651621
266,1.0913199223231638
267,1.0922749147909636
268,1.0968566522830558
269,1.0970030325361142
270,1.0927246508660553
271,1.0923215166579543
272,1.0929731635789348
273,1.0945897448512412
274,1.0918125923725088
275,1.091079244830522
276,1.0918462789007526
277,1.0900723444013254
278,1.0887137675801781
279,1.087227077968325
280,1.0860491547112707
281,1.080178451994286
282,1.0779194319991132
283,1.0798067550397406
284,1.0776310537046752
285,1.099647036627644
286,1.1023321263842076
287,1.0993979372243374
288,1.0978074079602091
289,1.0977984172871627
290,1.098677462118514
291,1.0987293215494343
292,1.1043885130764912
293,1.109829563217974
294,1.1033562059113167
295,1.101415574815916
296,1.1009602691241995
297,1.1016393735306402
298,1.1080494038148359
299,1.1093754853378752
300,1.1164450339619028
301,1.1153597758060794
302,1.1126806530490236
303,1.1177040486526881
304,1.1204074709101555
305,1.1197213133330635
306,1.1186996473885853
307,1.1218087551571607
308,1.124965746354085
309,1.1226301597816597
310,1.1262301772275831
311,1.1264667487754711
312,1.1369323322494278
313,1.1383101401533517
314,1.1347914972598252
315,1.1332706942265989
316,1.1407920952449784
317,1.1420649098475575
318,1.1413910508809986
319,1.1456096666410627
320,1.1328648799409768
321,1.1377472935157495
322,1.1409642528553694
323,1.1420490367178195
324,1.134455798484008
325,1.134865144821319
326,1.1326125426272897
327,1.1351421245803694
328,1.1326834219410002
329,1.1334933878096267
330,1.124323166619749
331,1.1226140774029376
332,1.1227508432146194
333,1.1220384988541254
334,1.118893435486402
335,1.1234232870077743
336,1.1244114575047874
337,1.1291072352462919
338,1.13286046784685
339,1.1292982234962916
340,1.1289413073621195
341,1.1293831014333096
342,1.1338859938281598
343,1.1318163397998433
344,1.1417045472218492
345,1.1393358249549164
346,1.1364131647040332
347,1.135224176162
348,1.136750635873715
349,1.1332423953396318
350,1.1379336482122149
351,1.1369083382035505
352,1.1434490503943955
353,1.143416022273529
354,1.1479723004257565
355,1.1474510947179632
356,1.1488712291843264
357,1.148318752104018
358,1.1449919164112643
359,1.1413532426593016
360,1.1455697209633477
361,1.1499785700549978
362,1.1497098919288815
363,1.1501191551022285
364,1.1485966886499133
365,1.1500746793015304
366,1.1507220339131332
367,1.153956338498976
368,1.1594464356272454
369,1.156701479225455
370,1.1584864813349327
371,1.1593981889585037
372,1.1535576142246073
373,1.1548211396284243
374,1.1521419359691496
375,1.1507537546389623
376,1.154429134310308
377,1.16306526384313
378,1.1591057825945448
379,1.1613413034401223
380,1.156130635045596
381,1.1536079403009296
382,1.1459997145450564
383,1.143518140010508
384,1.1465298293794597
385,1.1494153144097021
386,1.1472055651407438
387,1.145752957240724
388,1.1485574610299425
389,1.1428964154228356
390,1.1401326693974765
391,1.1395156924027945
392,1.1415432865518325
393,1.1482980771766147
394,1.1507159889697502
395,1.1530998646906274
396,1.1526329306311207
397,1.1548945700353412
398,1.1585811697394703
399,1.1566778003982705
400,1.1573755869059161
401,1.162168358627468
402,1.1644936952094875
403,1.1619961521999578
404,1.1620100317057749
405,1.1638904032184016
406,1.1652572553168807
407,1.1667255337101499
408,1.161310896603513
409,1.159514408014058
410,1.1604827894732868
411,1.158662032095666
412,1.1600566529538525
413,1.1589368845701957
414,1.160578927655777
415,1.1626050676270938
416,1.1660027743825332
417,1.17654874825287
418,1.1724049571206772
419,1.1711264340499068
420,1.166670775710171
421,1.1699842503969216
422,1.1638222772188902
423,1.1589648782864292
424,1.1613534286741163
425,1.1687745813956167
426,1.163238455763406
427,1.1651120591494402
428,1.1638965570894304
429,1.1609988629843229
430,1.165441922934435
431,1.1612891192817976
432,1.1706033464509755
433,1.167809434496064
434,1.1721822082884512
435,1.161001954459484
436,1.1616166748052144
437,1.1618713735190647
438,1.1629978676959414
439,1.1591404945543642
440,1.159526674665356
441,1.1621484095141787
442,1.163397783630058
443,1.1653676019772452
444,1.161543967177096
445,1.161746169098914
446,1.1577745770991292
447,1.1617126745434905
448,1.1672864892610542
449,1.1675701906891593
450,1.16625562533598
451,1.1629749449782174
452,1.1608241552304488
453,1.1638700149847425
454,1.163873376291597
455,1.1628627414565844
456,1.1600521330864761
457,1.1650815078544157
458,1.173479487979721
459,1.1762726687603615
460,1.172996028197902
