,Final Portfolio Value
0,1.002866348987074
1,1.0072001998348248
2,1.001411022455073
3,1.008909697069345
4,1.002050774564314
5,1.0096779157126397
6,1.011009580258789
7,1.0090603314560824
8,1.0101673981593111
9,1.0086828268546588
10,1.008720246566403
11,1.0201265268254684
12,1.0227528663002836
13,1.0231859272753203
14,1.0272164829140895
15,1.0290490916050226
16,1.0278507865911926
17,1.028375950659327
18,1.0315402443641752
19,1.0345497952671099
20,1.0291678456304283
21,1.0282775416114391
22,1.0391023685106098
23,1.039397371191824
24,1.041002895885467
25,1.0398976351183793
26,1.0340369411254207
27,1.0391434783901472
28,1.037142376518469
29,1.0393178226721715
30,1.0381721063559586
31,1.033929620920674
32,1.0406784113193779
33,1.0424207293988648
34,1.0417088054889074
35,1.043103092418687
36,1.0488684305093239
37,1.0498763348702775
38,1.0468005188244325
39,1.0415541498861942
40,1.037841589515806
41,1.0357830627002291
42,1.0381031581020645
43,1.0383576738141604
44,1.0374211137781009
45,1.0378840148050223
46,1.0335623405416368
47,1.029223308001075
48,1.0333934702224505
49,1.0351883845526753
50,1.0357674704729396
51,1.03585687457028
52,1.029150699175747
53,1.0272428810959133
54,1.0218036683265934
55,1.0159065692506697
56,1.0097103811249535
57,1.0143519403933987
58,1.0137164527344797
59,1.0147724247039123
60,1.0178000660827016
61,1.0219037362335306
62,1.0208687038444957
63,1.0213593175833964
64,1.026449919117655
65,1.0259225676681614
66,1.030559774854783
67,1.034609426205793
68,1.0370063810677532
69,1.039665790198173
70,1.0336846188976128
71,1.0248456102434185
72,1.0221725046272288
73,1.0191694192244407
74,1.0205919472462779
75,1.0205664130242078
76,1.0224413375049224
77,1.0222545955590783
78,1.0256559810677066
79,1.0232072547288478
80,1.0328652926778348
81,1.0221261400111754
82,1.02430772835336
83,1.0326963904679327
84,1.0325630584907615
85,1.0429112563558334
86,1.0480316988151417
87,1.0462070610378909
88,1.048536729430991
89,1.0455356719972637
90,1.051594313558364
91,1.0561774528212609
92,1.0534363095244939
93,1.0582397115963114
94,1.0587812975588
95,1.0578302325742608
96,1.057444220634529
97,1.0559765207074587
98,1.0590274869223604
99,1.0575568352027709
100,1.0604721584190735
101,1.061377339650268
102,1.0634362255202394
103,1.0682030928077235
104,1.07173348179538
105,1.0746059972989672
106,1.0750141387151184
107,1.068587803596182
108,1.0665779806396116
109,1.0727652704187454
110,1.0750417195642545
111,1.0773168251761134
112,1.0880007345614497
113,1.09214228428019
114,1.0946404579774571
115,1.0959088637812382
116,1.098530478586921
117,1.0953100614344473
118,1.0938288814570096
119,1.0940285205581688
120,1.0925551573751031
121,1.0922543314754174
122,1.0918589728082673
123,1.0870452797532828
124,1.0860368611097582
125,1.083336702476522
126,1.0836295026374188
127,1.0807467284558019
128,1.0774005091260277
129,1.0777608767241191
130,1.0815895745497637
131,1.0861422865932766
132,1.084134942327915
133,1.0756025452570332
134,1.0717320251342783
135,1.0738344056076432
136,1.075903849550261
137,1.0745105315617869
138,1.0691371864585677
139,1.0726700511966423
140,1.0776160213652302
141,1.079291231448355
142,1.0866308317034177
143,1.0883568670196366
144,1.0849649738663478
145,1.0820086391832273
146,1.0834041614996797
147,1.0799852935897747
148,1.0859513980149065
149,1.0876514877749253
150,1.087285675964815
151,1.0877144931916818
152,1.091782932385952
153,1.094105870118375
154,1.0931297364841428
155,1.0882618178490038
156,1.0885649296155773
157,1.0896912987725946
158,1.087728674212392
159,1.0872267319189477
160,1.0876691796007198
161,1.0892182074164198
162,1.0865581457335929
163,1.0879554613485691
164,1.0896693584812216
165,1.084218764065903
166,1.0843354304798656
167,1.085737345843963
168,1.0847877085452982
169,1.0861862158320332
170,1.0836809582750568
171,1.075756585195457
172,1.0727704618418252
173,1.077811647998725
174,1.0792211907191334
175,1.0732333098285307
176,1.0642520022583244
177,1.058713164433137
178,1.0539702677786795
179,1.0556293981862854
180,1.049078757527772
181,1.0478828665168292
182,1.0466961518755977
183,1.0442492752415102
184,1.0480814101658793
185,1.0412145680490557
186,1.0425293628738204
187,1.04316881308862
188,1.044478258516524
189,1.0404916699745441
190,1.035573731791644
191,1.0374607623703163
192,1.044099919234759
193,1.0448706636232135
194,1.0591904407763983
195,1.054019405402457
196,1.0519069714160936
197,1.0507617141310104
198,1.057121530394495
199,1.0538526963631143
200,1.052646441843145
201,1.054684052546058
202,1.0578402383540457
203,1.0576673216080266
204,1.0571889517079027
205,1.0593809982880846
206,1.0617688213555558
207,1.0596981208937868
208,1.0655418862706891
209,1.0660999739046182
210,1.0602878130975355
211,1.0632619215114192
212,1.065822367512991
213,1.0653460600825522
214,1.071048975455952
215,1.0715239990533418
216,1.0738375183316893
217,1.0753495682845677
218,1.0739271241074029
219,1.0703886841186743
220,1.0705201912232154
221,1.066036517155192
222,1.0681199939961057
223,1.067028131614247
224,1.0670851541407298
225,1.0675357714852476
226,1.063456230159688
227,1.0652422987233618
228,1.0612799400947295
229,1.0637056793206252
230,1.0618247111586285
231,1.069320969797754
232,1.0673151420974423
233,1.0628835548957916
234,1.060667787448294
235,1.061675659062587
236,1.0629060762747424
237,1.0618685264941243
238,1.0621809515001266
239,1.0614748886961465
240,1.0608103236255264
241,1.0645574534847038
242,1.0650437745360026
243,1.065163549424388
244,1.066405615664893
245,1.066240580191739
246,1.0657149230029803
247,1.0698945399103506
248,1.070422494451159
249,1.0746802231615489
250,1.0713323064254705
251,1.0745246224408482
252,1.0742726090108325
253,1.075602211791296
254,1.0721709023431343
255,1.0743011706404144
256,1.0764086795059968
257,1.0752806168277211
