,Final Portfolio Value
0,1.0034855449373212
1,1.006965301744145
2,1.000837805367079
3,1.0066143305971353
4,0.9995033395657218
5,1.0063307134480883
6,1.0073008544384552
7,1.0056878609667355
8,1.0075282446463363
9,1.0055317398822234
10,1.0064015117438627
11,1.0155756857172895
12,1.0182386988302705
13,1.0195988000701994
14,1.0230145835651538
15,1.0242507626060973
16,1.022955430142321
17,1.0239349330552407
18,1.027669627678569
19,1.0307926966708025
20,1.026554706005605
21,1.024896628643361
22,1.0344428481850558
23,1.0354760929574223
24,1.0389831238495733
25,1.0375390910960662
26,1.0342938980522378
27,1.0388372435639501
28,1.0375161365276409
29,1.0391702708706867
30,1.0369211497638202
31,1.0329562260798346
32,1.0374185318906608
33,1.0390772396369625
34,1.038700646793235
35,1.038832423347307
36,1.0428241535984808
37,1.0433861558352762
38,1.0405000455423072
39,1.0354098763383395
40,1.031471181333564
41,1.0292167922938227
42,1.0315851357204222
43,1.0317078177975771
44,1.0318224102902467
45,1.0343421254637106
46,1.031220122141498
47,1.0268422480063213
48,1.030784243937667
49,1.0324193070093346
50,1.0321081483060437
51,1.0325740034861226
52,1.0263630906550227
53,1.0249196713602018
54,1.019687068003653
55,1.0127153156017208
56,1.00691793141301
57,1.0112337399061715
58,1.0109698576853705
59,1.009986007880511
60,1.0120021071281768
61,1.0159133914505085
62,1.0149911712739326
63,1.0160131059377004
64,1.022103573686319
65,1.0213978613250345
66,1.0268257545731476
67,1.0307610512239955
68,1.031874325054897
69,1.0348368096268987
70,1.03026275991017
71,1.0240950195671772
72,1.0225194119132177
73,1.0206397053887337
74,1.0215019966946524
75,1.0210330470887548
76,1.0220296430534699
77,1.018688038454064
78,1.0211550010970436
79,1.018922711359341
80,1.026601621801895
81,1.0261832591500883
82,1.0315787297545564
83,1.038102623637598
84,1.0368745477959604
85,1.0477174029220377
86,1.053176610426928
87,1.0546956252443542
88,1.0577987606687327
89,1.0551164609646009
90,1.0596163798077236
91,1.063089040436039
92,1.058312066860961
93,1.0637724180852346
94,1.0626459822852161
95,1.0625379550545004
96,1.0619252777005608
97,1.0617023492439617
98,1.0636196134493694
99,1.0618214887145894
100,1.065468129209667
101,1.0659652461187663
102,1.0675306673690919
103,1.0718054473781704
104,1.0756640619273319
105,1.0778438573916684
106,1.0789242076583323
107,1.072624831308357
108,1.070211148240684
109,1.077378970884719
110,1.0789891065328494
111,1.0812157498964219
112,1.0907989435791698
113,1.0951985286068735
114,1.0976680085138628
115,1.099245766710059
116,1.1019677096504623
117,1.098401647617803
118,1.0971701071830853
119,1.0966360395248855
120,1.095901112829055
121,1.0952996565794118
122,1.094408069396132
123,1.0890934646897799
124,1.0888411282440262
125,1.0867961913932906
126,1.0865994543990949
127,1.0837392879977814
128,1.0796349969953298
129,1.0792158661424218
130,1.082425690727862
131,1.0872218131190523
132,1.0858375619553233
133,1.07833775006931
134,1.074335231701025
135,1.0776352923411197
136,1.0795284385943154
137,1.077669713948982
138,1.0739657435215801
139,1.0771988755200161
140,1.0822297375258905
141,1.0830439194449006
142,1.0892608271568913
143,1.09205916920225
144,1.090069784948049
145,1.0867490601676515
146,1.087724487765579
147,1.0854747386548311
148,1.0897369602283908
149,1.0912927633107172
150,1.0907164039697026
151,1.091875624319787
152,1.0976760499971807
153,1.0995226462928147
154,1.0998902693683488
155,1.0951282269013478
156,1.0959325192728215
157,1.0962930159779942
158,1.0948455455974369
159,1.0928814586342783
160,1.0933693853323472
161,1.0948721313114052
162,1.0922262711197153
163,1.093420601892313
164,1.0954389181004511
165,1.0897868176909309
166,1.0899244740395935
167,1.0916200130570095
168,1.0904542191463271
169,1.0923496386409284
170,1.090848045536878
171,1.08227952411725
172,1.0794072839573656
173,1.083563847653537
174,1.08472603560622
175,1.0772581919605186
176,1.0676548085346351
177,1.0615939367463654
178,1.0570834662867148
179,1.059042569437877
180,1.0524473864984332
181,1.0509340314348792
182,1.050423074545732
183,1.0469817439428062
184,1.0512843972629764
185,1.0443512843816465
186,1.0457769015929084
187,1.0469684240112778
188,1.047283186120482
189,1.0432687697118834
190,1.0385537594074021
191,1.0400020821082951
192,1.0450903618161698
193,1.045544329389431
194,1.0587603524026292
195,1.0533269240513927
196,1.0507327763195629
197,1.049204426684699
198,1.055336081023106
199,1.0531776572287392
200,1.051592078009526
201,1.0535173802961615
202,1.0572157375378284
203,1.0566983697081611
204,1.057136210053608
205,1.059939826934618
206,1.0624312195458114
207,1.0607824286359349
208,1.066758507174288
209,1.0669904444072669
210,1.0604656623860942
211,1.0632005061417606
212,1.065146565410784
213,1.065211109510781
214,1.0719497195734935
215,1.0724553746384164
216,1.0740570041461162
217,1.0762762591397121
218,1.0746819897272872
219,1.0695963740136103
220,1.0696177176930983
221,1.0650197620322985
222,1.0667091150839911
223,1.0653473111063831
224,1.0649347656738994
225,1.0634662476524952
226,1.059277567622137
227,1.0616419332810008
228,1.058670260612328
229,1.0614876267728133
230,1.0584465043454865
231,1.066782070681939
232,1.0654717506797386
233,1.0619851341304676
234,1.0590954729117825
235,1.0599807253142541
236,1.0605542096098262
237,1.0596113844758444
238,1.0592550309227615
239,1.0586147574383171
240,1.0579900035458014
241,1.0620090279603014
242,1.062997899753926
243,1.061761181363038
244,1.063235010586108
245,1.0628076298323308
246,1.063407357994766
247,1.067605041636214
248,1.0684212324978604
249,1.0717062415414627
250,1.068804499413524
251,1.0717114533345138
252,1.0721471674221636
253,1.0740395431138618
254,1.0707901993179594
255,1.0725599992146073
256,1.0745003217740101
257,1.0729856982680608
258,1.0732753768924863
259,1.0758744079103042
260,1.0755769659341914
261,1.0755059333431367
262,1.0754883180686794
263,1.0730383777816141
264,1.074226889157529
265,1.0729133144163912
266,1.0763878022416264
267,1.0771289163366877
268,1.081228092157589
269,1.0816805068510922
270,1.0777545467826264
271,1.0768078243039587
272,1.077838528566803
273,1.0796610848044217
274,1.0775654285273233
275,1.0768125090326741
276,1.078068290431662
277,1.0764487417307076
278,1.0749843287112968
279,1.0736703110323087
280,1.0729049615102966
281,1.0672340230797421
282,1.064842176807884
283,1.066428485933038
284,1.0643533153478144
285,1.0826873404345454
286,1.0845422217293894
287,1.0820385282850138
288,1.0810128019701277
289,1.0808566604230951
290,1.0814559357288398
291,1.0818286897048166
292,1.086201066555548
293,1.090368365087157
294,1.0850217907268411
295,1.0830446508305986
296,1.0827153528096622
297,1.0835681778038664
298,1.0894540073348948
299,1.0897769719194703
300,1.096054712247916
301,1.0964030565532314
302,1.093672176666976
303,1.097824865845863
304,1.1002676452174773
305,1.0996881925225432
306,1.0989753308204873
307,1.101917696720649
308,1.1055635562005712
309,1.1032913442756096
310,1.1062342920087227
311,1.1061828316747337
312,1.1151002894317923
313,1.117169951579453
314,1.113493015189281
315,1.1124215284732746
316,1.1194946769063334
317,1.121436831671251
318,1.1203040586057744
319,1.1242438846560021
320,1.1128150209193366
321,1.1167944882178777
322,1.1193884599734298
323,1.1211175649364273
324,1.1151603621832904
325,1.1155416394569377
326,1.1135806718276444
327,1.1156149957899897
328,1.1128954697499212
329,1.112955758707231
