,Final Portfolio Value
0,1.001688668245666
1,1.0064258975950096
2,1.000193586154388
3,1.0085487277507301
4,1.0014763203056443
5,1.0096247079029772
6,1.0113070899229821
7,1.009078128748814
8,1.0099969305097019
9,1.008626943419663
10,1.0086769661285595
11,1.0210529094613439
12,1.0238058344224623
13,1.0242520782689921
14,1.0286291037621869
15,1.0304511737087512
16,1.029170760288761
17,1.0296530649326565
18,1.0328439487273073
19,1.0360463653095908
20,1.030073654575073
21,1.0290830340428019
22,1.0408633865597063
23,1.0410018293582644
24,1.0423143685321823
25,1.0411816365225408
26,1.0344450603559183
27,1.040028802352118
28,1.0378483128298193
29,1.0401611513584494
30,1.0392025649270062
31,1.0347626261525726
32,1.042256322298881
33,1.0442405468465004
34,1.0433270387029028
35,1.045121509664735
36,1.0516759533451299
37,1.0527744187675272
38,1.049681448948117
39,1.0440835829042878
40,1.0403085702579806
41,1.0382122988410654
42,1.0406530794289521
43,1.040824449946232
44,1.0397059163626896
45,1.0396049465746813
46,1.0348056824535237
47,1.0301121424825357
48,1.0345700626505465
49,1.0364579170053791
50,1.0372530874096766
51,1.0372407521414078
52,1.0301117478539257
53,1.027901032042967
54,1.022334144759783
55,1.0163819090676125
56,1.009746395861722
57,1.0147093831310017
58,1.0139588947403713
59,1.0154248346497483
60,1.0187320481275126
61,1.0231225455581459
62,1.0219995575966432
63,1.0223981561811928
64,1.0275709947906275
65,1.0269992366824465
66,1.0316537078965435
67,1.0361073041902973
68,1.038777949840751
69,1.0415122793425031
70,1.0348180590315603
71,1.024888596456239
72,1.02193576016958
73,1.018574525026575
74,1.020131549409987
75,1.0202724874553764
76,1.0224060265489288
77,1.0227811240279994
78,1.02655907620857
79,1.0239596109811318
80,1.0346881877005287
81,1.0211012437185913
82,1.0224940511427136
83,1.0315619485603693
84,1.0315310173430374
85,1.0423578599186558
86,1.0475804876053514
87,1.0448929514893193
88,1.0471923487761945
89,1.0439956031743256
90,1.0506507642718943
91,1.0557938013964936
92,1.0534112815892307
93,1.0582851171372925
94,1.0593283767575254
95,1.058273111631781
96,1.057877068719355
97,1.0560238534782542
98,1.059527169751724
99,1.0580142283246259
100,1.0609499163979799
101,1.0619315442969646
102,1.0642616060288557
103,1.0692602899230979
104,1.0729468339146697
105,1.0759828059284642
106,1.0763386872504745
107,1.0696863660740585
108,1.0676156988774996
109,1.0737800020986408
110,1.0764128929024785
111,1.078799150542316
112,1.0903256860204171
113,1.094565980618237
114,1.0972325388716366
115,1.0984817385156935
116,1.1013583118731092
117,1.0984293293135416
118,1.0967206230708721
119,1.096981281379116
120,1.0954286117464562
121,1.0950070099599103
122,1.0947130673951033
123,1.0896919827878624
124,1.0885146780588213
125,1.0854755581694469
126,1.085885566517994
127,1.0829319769357733
128,1.079585589689862
129,1.0801573734488592
130,1.0841059502288641
131,1.0888596641948842
132,1.0868410763336875
133,1.0777933418431491
134,1.073820866239611
135,1.0758088047630854
136,1.0779865603745062
137,1.0766150862754869
138,1.0705193487408162
139,1.0743142672496027
140,1.0794499065439114
141,1.0814776695525972
142,1.089181389387872
143,1.0908678868594168
144,1.0868798769519632
145,1.0837375232256647
146,1.0852690431233065
147,1.0815089317290436
148,1.0881788850519687
149,1.0900989674063721
150,1.0900930053091
151,1.0903962347962377
152,1.0944291173541978
153,1.0970625581215996
154,1.0956752759513124
155,1.090620776422421
156,1.0907633091614253
157,1.0921203814581475
158,1.0899406725911844
159,1.08963402288864
160,1.090063738942137
161,1.0916411221193827
162,1.0888525349432427
163,1.0904207163274608
164,1.0921811527411756
165,1.0866478438484863
166,1.0870399565171907
167,1.088507597447865
168,1.0875627025432486
169,1.0890904476221464
170,1.0860101758611245
171,1.0777951673659474
172,1.0745822646862329
173,1.0801089911149104
174,1.0817357811522785
175,1.0757112097274297
176,1.0667348430875938
177,1.061261429589127
178,1.0563142953249431
179,1.0580907316974726
180,1.0512412009757712
181,1.0500549800886447
182,1.0486676527379672
183,1.046277759601303
184,1.050036390348088
185,1.0429912909309145
186,1.0443560772700096
187,1.0447987969063939
188,1.0462971806242924
189,1.04214884593106
190,1.0370948083789644
191,1.0389327169472904
192,1.046480934562278
193,1.0473379634055486
194,1.0626515484439476
195,1.0573124264586116
196,1.0550960681185921
197,1.0540554190336051
198,1.0605844363150743
199,1.0566867607782178
200,1.0556328565172242
201,1.0578005338693979
202,1.0608262914690894
203,1.060748617985609
204,1.0599924573697388
205,1.0622724758422815
206,1.0646641785832067
207,1.062341305622613
208,1.068442766505354
209,1.0692116701495562
210,1.0635114767755263
211,1.066789099446031
212,1.0696765626872327
213,1.0692230629064934
214,1.074909096952863
215,1.0754130822940304
216,1.0779062620625393
217,1.0793656538364724
218,1.0779718496301025
219,1.0744809399711208
220,1.074789017877711
221,1.070155525111636
222,1.0726062498634483
223,1.0713331453951302
224,1.0716397751922007
225,1.0727094091499565
226,1.0685879294843732
227,1.0703750455421766
228,1.0660675583637251
229,1.068457534400983
230,1.06681734863835
231,1.074439092642626
232,1.0721874666986904
233,1.0674425862139074
234,1.065144961023465
235,1.0660323947697177
236,1.067368523388425
237,1.0663821350622364
238,1.0668491666931843
239,1.0661270897236286
240,1.0657047557711408
241,1.0694609159736177
242,1.0698764792678077
243,1.070397465176637
244,1.071551017654583
245,1.0713346102904653
246,1.0703662017024431
247,1.074779360527182
248,1.0751989450798642
249,1.0801297897916984
250,1.0765383617777449
251,1.080025848885031
252,1.0796818118783302
253,1.0809242415864737
254,1.0774852790271767
255,1.0799267969142405
256,1.0825085832706351
257,1.0812831173126847
258,1.0806999910164303
259,1.084825500325693
260,1.0856366183729775
261,1.0856674423870414
262,1.0848800932014278
263,1.082621531004464
264,1.0834542966310656
265,1.0833342914832593
266,1.0867125907097432
267,1.087731990448824
268,1.0922852781997263
269,1.092416691444309
270,1.088521510127851
271,1.088656798811965
272,1.0891139736760322
273,1.0904931245008769
274,1.0875759243385268
275,1.0869943255480519
276,1.0874552389275558
277,1.0857284236862559
278,1.0845213880474283
279,1.083202872461737
280,1.0817517022096341
281,1.0768305102233218
282,1.0748694231688474
283,1.0766606354576271
284,1.074623124687756
285,1.096862478663795
286,1.0995283188080887
287,1.0966164006980446
288,1.095255898370403
289,1.0953509233696668
290,1.096251181341783
291,1.0960770254160868
292,1.1018857645180617
293,1.1076981124970111
294,1.1010445967536926
295,1.099283354333005
296,1.0989792435522594
297,1.0991807903033062
298,1.105410616846643
299,1.1066423029731856
300,1.1134178344030001
301,1.1116002118662283
302,1.1096597897338174
303,1.1146532523114252
304,1.11692940086766
305,1.116291678390792
306,1.1151114220891216
307,1.1181797659459614
308,1.1205348263819717
309,1.11853198503265
310,1.1221937807430353
311,1.1225378625347722
312,1.1329136541722065
313,1.13374217351094
314,1.130764807796059
315,1.1293886185790951
316,1.1361702717025743
317,1.1368797040898668
318,1.1367595369961139
319,1.1408514607619868
320,1.1284481729385398
321,1.1333813376917505
322,1.136676324592161
323,1.1372260860088137
324,1.1293415611191262
325,1.12971131554244
326,1.1275306698815821
327,1.130113564607364
328,1.1273143269694637
329,1.1288100117645457
330,1.1190969150044654
331,1.1174660694967784
332,1.1176141307782321
333,1.116936285597451
334,1.1135213455883535
335,1.1176587177751287
336,1.1186885327671252
337,1.1230463917261932
338,1.127392300121382
339,1.1240837582858065
340,1.1243070578187797
341,1.1244676473628086
342,1.1279554349748544
343,1.1262799672097892
344,1.1353884190837282
345,1.132441691119292
346,1.1298136216885697
347,1.128772830606476
348,1.130646048178706
349,1.1268261019051975
350,1.131351816945601
351,1.130498266309263
352,1.1373724083209205
353,1.1369191298148107
354,1.1407958124781994
355,1.1405724469979746
356,1.1415714763521365
357,1.14106039101579
358,1.1376452241277297
359,1.133519524944404
360,1.1375753087710676
361,1.1423543884366947
362,1.1415572492776396
363,1.1420576033169676
364,1.14041451022029
365,1.1416501883952663
366,1.1420120850922912
367,1.145357437363691
368,1.1503270613074104
369,1.1478310337525643
370,1.1497132709879976
371,1.1496748281751872
372,1.1444242827532232
373,1.145777280694495
374,1.143779467657882
375,1.142819594909858
376,1.1469823353858246
377,1.155644194198159
378,1.1520836073585778
379,1.1547924390119686
380,1.1502972110371363
381,1.1477523212283067
382,1.1411153071739548
383,1.1392888514088204
384,1.142043740185951
385,1.1449989887111398
386,1.14258558192537
387,1.141733005959984
388,1.144149534872009
389,1.1386425282088457
390,1.1359906920695018
391,1.135592701607146
392,1.1376984647231623
393,1.144278006934819
394,1.146403782795297
395,1.1486580178320271
396,1.1483148817951274
397,1.1500555520294686
398,1.153210470386493
399,1.1516603437254087
400,1.1524680559587428
401,1.1571059788691291
402,1.1591964026427872
403,1.1573331788546217
404,1.1572025387711262
405,1.1589655993596104
406,1.1603717865132255
407,1.1614542560948835
408,1.156365562886176
409,1.1546559725694918
410,1.1551721166901516
411,1.1539465596689031
412,1.155667804423367
413,1.154744829785992
414,1.1567319574014414
415,1.1591548411869517
416,1.162762272893473
417,1.1721135429009921
418,1.1682735203268686
419,1.1673120064198639
420,1.162867670345027
421,1.1658911726953707
422,1.1593212064458205
423,1.1547378523451286
424,1.156518604301583
425,1.1637404189985658
426,1.1579796101273427
427,1.1604199457311573
428,1.1590457692559306
429,1.1565550757643799
430,1.1612579827714307
431,1.1568293494286674
432,1.1662033310219262
433,1.1631856983288797
434,1.1674124393371381
435,1.1573872989333758
436,1.1580071415859496
437,1.1580017125153352
438,1.1595711741356511
439,1.1555665087005653
440,1.1557040349785457
441,1.158610394242758
442,1.1600502927183334
443,1.1615542495440623
444,1.1579223224390875
445,1.158109042985228
446,1.154254851615248
447,1.157667057880545
448,1.1639675075674099
449,1.1639117683640174
450,1.1625408138641597
451,1.159004849050136
452,1.156910554524416
453,1.1599306044108282
454,1.1598354015343593
455,1.1590271029339991
456,1.1560059964143816
457,1.16099594713096
458,1.1697403450895374
459,1.1730907953629353
460,1.1701148178006306
461,1.1682579066159626
462,1.1660333584690228
463,1.1668796451488412
464,1.172606275124842
465,1.1747364363666455
466,1.1731767300552145
467,1.1744000590159922
468,1.1816368940566986
469,1.1814411345464195
470,1.1852967974225086
471,1.1817713415160818
472,1.1790536931454008
473,1.1798478276261564
474,1.175431582432115
475,1.1720961838187334
476,1.1705090125252942
477,1.1683764993553547
478,1.158165920209884
479,1.1450886445008432
480,1.1561146602480448
481,1.149458631408441
482,1.1319640698753106
483,1.1377402388859037
484,1.1436228740470438
485,1.1434232179156167
486,1.1493273800471315
487,1.150213560878503
488,1.153331525045856
489,1.1456924926957122
490,1.1441202787118452
491,1.1464787089094743
492,1.149982834017665
493,1.1508286123850002
494,1.1439610002105756
495,1.142109847276774
496,1.135999601161122
497,1.1392282402536058
498,1.142839702096243
499,1.1451595207349898
500,1.1473263103638824
501,1.149059070499793
