,Final Portfolio Value
0,1.0031326406389174
1,1.0022696985738175
2,1.0050856335000253
3,1.0059762935856091
4,1.0056850331896976
5,1.00626444879599
6,1.0034476889158506
7,0.9988550527139413
8,0.998130049298182
9,0.999102073218779
10,1.005719756662435
11,1.0066904740598974
12,1.0105803984563673
13,1.0094906607481884
14,1.0070885783937462
15,0.9989982625599596
16,1.001950470894566
17,0.9981539435830835
18,1.0039539983731038
19,1.0038416273932462
20,1.005245501182221
21,0.9998054957559737
22,0.9994411909002661
23,0.9968317065844745
24,0.99426387871172
25,0.9870084124239029
26,0.984367235276336
27,0.9824820075225638
28,0.9813714226649958
29,0.985497984242688
30,0.9900655243549026
31,0.9897217571144135
32,0.990798979780765
33,0.9969003330742168
34,0.9942655337082529
35,0.9965627302460679
36,0.9966784955391337
37,0.9968147616295815
38,0.9955659143990656
39,0.99634462651142
40,1.0005749723701989
41,1.0040729132552384
42,1.006149671654851
43,1.0106153654047665
44,1.0105348807690855
45,1.0145860548174235
46,1.0129109856554426
47,1.0055955000546728
48,1.0074152399227876
49,1.0162584340515173
50,1.0191886979078588
51,1.0243741947592837
52,1.0253588524377149
53,1.0248303710080546
54,1.0259869665051196
55,1.0206803599008631
56,1.0209476552548384
57,1.0227899892141217
58,1.024564755186797
59,1.0253935849033327
60,1.0280232204537088
61,1.0245386224550026
62,1.0201849300060162
63,1.0181722784770622
64,1.0124880042508917
65,1.0155590870224278
66,1.0199068313917685
67,1.020989794831996
68,1.0192415608640712
69,1.0186175619347067
70,1.0196486835272882
71,1.0184502233832011
72,1.0231777254692807
73,1.0261654190964875
74,1.0228480962982651
75,1.0234380184514857
76,1.0215350667132201
77,1.0161039036458632
78,1.0127683530744573
79,1.0103228630512902
80,1.008023184992659
81,1.0013512593829845
82,0.9984370534199196
83,1.0019916029453177
84,0.9997148234588376
85,1.001462897880494
86,1.0008173117261314
87,1.0052993616181505
88,1.012379976293055
89,1.0128886088841575
90,1.017990006859389
91,1.0133687647119698
92,1.0189525786187423
93,1.0165467116799083
94,1.0162986349306231
95,1.0202690125706695
96,1.0209517861036903
97,1.026282412813496
98,1.0306401101800355
99,1.0465080226952816
100,1.056318094453618
101,1.0578699733112038
102,1.0659755226006946
103,1.0614635405203892
104,1.0618936420546936
105,1.0666274680012096
106,1.0668922334127124
107,1.0590542041629798
108,1.0687615095684961
109,1.071207173979567
110,1.0676232881430376
111,1.0720828182512223
