,Final Portfolio Value
0,1.008507272854928
1,1.004748593283867
2,1.0015820226380683
3,0.9928544925104006
4,0.9968313787885568
5,1.004549433583986
6,1.0115676031708585
7,1.0166884927121362
8,1.0163360190132618
9,1.015838771002918
10,1.0264158251718234
11,1.0266857454981948
12,1.0220944769565712
13,1.0316136184268354
14,1.0345161062125934
15,1.037994796029084
16,1.0398825317009892
17,1.0354704566155757
18,1.0383328089394048
19,1.0320851792599106
20,1.0286084815565903
21,1.0316265323222757
22,1.0319572628129705
23,1.0221011484710605
24,1.0283519454597088
25,1.026234307783536
26,1.02567069294015
27,1.0283447550765394
28,1.033365713588813
29,1.0315101064211942
30,1.0280132579914092
31,1.0312923789400807
32,1.0333299059404837
33,1.0290952026976594
34,1.0277400406677373
35,1.0210790078178
36,1.0218012448656577
37,1.0189147137253691
38,1.0154815021864168
39,1.0185114195136684
40,1.0236469493957783
41,1.0201309876470792
42,1.0176610936510695
43,1.0220776294241658
44,1.016709098962346
45,1.0134101989262514
46,1.0069404997407096
47,1.0016413669654622
48,1.0017551486418084
49,0.9951641009806329
50,1.0017880243666433
51,1.0104153051426867
52,1.0127796742326631
53,1.0151514508233523
54,1.0073645287113353
55,1.0089113806737455
56,1.0126166432416674
57,1.0126678953851758
58,1.010885496668863
59,1.0143014818426659
60,1.0129562267039824
61,1.0219670894175037
62,1.021012345248971
63,1.0238244974002013
64,1.0266322322369312
65,1.0309057401678758
66,1.027891943773898
67,1.029925896436552
68,1.0308444066199294
69,1.035887071696195
70,1.0378481810779203
71,1.036668817872101
72,1.0326100638224436
73,1.030498213732681
74,1.0322422501147788
75,1.0321937373265881
76,1.0364196057538908
77,1.0363121977419483
78,1.034723989249641
79,1.0371380595707238
80,1.041424227464453
81,1.038395059909589
82,1.038560793106003
83,1.0375677651363375
84,1.0396171243915457
85,1.039295520423391
86,1.0353880184203756
87,1.031546229542237
88,1.0317484209663266
89,1.029996096748092
90,1.0334969345857534
91,1.0282876333326967
92,1.032742712058781
93,1.0356950316446127
94,1.034894874797095
95,1.0276971726227044
96,1.0328255902436585
97,1.0326892872899576
98,1.0329608695909598
99,1.0350486566973818
100,1.038892157994281
101,1.039276836077934
102,1.0398581428327982
103,1.0407760453348918
104,1.0405487895714536
105,1.0436953345837752
