,Final Portfolio Value
0,1.0076903954032113
1,0.999208704901122
2,0.9937266791334751
3,0.9821931908566792
4,0.989246580953703
5,0.9987473172984571
6,1.0095191777304198
7,1.0148109740386269
8,1.013767382774705
9,1.0099649521643852
10,1.0245477864715646
11,1.0262458059512138
12,1.0219021760393312
13,1.0331251383319004
14,1.0331139396526585
15,1.0376203964271524
16,1.0410173330841048
17,1.0337516697056264
18,1.0373112362077508
19,1.0297283881476151
20,1.024106362045279
21,1.0267518674971599
22,1.0268983551240947
23,1.0130417778477658
24,1.020447170462281
25,1.0163604743632058
26,1.0183015575092844
27,1.0218488417257114
28,1.0271282374474835
29,1.025250370192599
30,1.0184285733526166
31,1.0220675749829777
32,1.0235539521554375
33,1.0172825067671374
34,1.0157439965103578
35,1.0062726176693448
36,1.0071336229404382
37,1.0038051608457805
38,0.9989164238846906
39,1.0042570263388204
40,1.0109821345692294
41,1.0031150992059543
42,0.9999447876888632
43,1.008384538227318
44,1.000886523315203
45,0.9965520061875054
46,0.9883712514771736
47,0.9823689768313746
48,0.9856800325972901
49,0.9774911313723544
50,0.9870269137994274
51,0.9984242208270446
52,1.0011405519622594
53,1.0093115635822538
54,0.9993930340887665
55,1.0042513073639854
56,1.0083152805556366
57,1.0107554441567028
58,1.0070547743615466
59,1.0109902502430035
60,1.007641367265963
61,1.0175449045813711
62,1.015269733115231
63,1.0166655905224058
64,1.0204644086828027
65,1.022527973409904
66,1.0229072478147874
67,1.0252328563151265
68,1.0270075617200287
69,1.0327302118901718
70,1.0302175083978689
71,1.028008489385477
72,1.0213817807217487
73,1.0214179382907072
74,1.0224781980769477
75,1.0254198166467017
76,1.0293037519395423
77,1.0268287248813843
78,1.0252079493908564
79,1.0299548818125421
80,1.036214174299228
81,1.033482538720759
82,1.0338409667910964
83,1.0300542823826306
84,1.0354525034413915
85,1.0349185593079395
86,1.0308394480361607
87,1.0249942711531017
88,1.0250476952915368
89,1.021730901252224
90,1.026087897349552
91,1.018693325933416
92,1.0242475601867669
93,1.0267041301399091
94,1.0255522102894514
95,1.0176001386916853
96,1.0250600133452965
97,1.0234937241025146
98,1.0218112275060367
99,1.0222231683962768
100,1.0274047554025059
101,1.0279099381533623
102,1.027756087984205
103,1.027812791111023
104,1.025177999245451
105,1.0283611677657873
106,1.0258043425511536
107,1.02767243018569
108,1.0292878813119035
109,1.0372324911341746
110,1.0366305236405569
111,1.0320493150444376
112,1.0331276307937152
113,1.0340891656927398
114,1.034046472860235
115,1.0380055877372518
116,1.032978752058156
117,1.0307621352307417
118,1.0277249454300077
119,1.0230093930334525
120,1.0210512888767944
121,1.02423240406323
122,1.0144229879183575
123,1.0057499768071092
124,1.0113245173425036
125,1.0108890730749476
126,1.0044284435248065
127,1.0101137227141683
128,1.0094663926998715
129,1.005862436513923
130,1.001851608451003
131,1.0014398308338133
132,0.9983076930051513
133,0.999084055464012
134,0.9971964949580233
135,0.9941085751355907
136,0.9950916077487166
137,1.0012895520184282
138,1.0091570034654596
139,1.0087169690559885
140,1.0071627031374044
141,1.0099339092680637
142,1.0053588652778305
143,1.0089955861426247
144,1.0059434332969743
145,1.0115145924277171
146,1.0147764195278794
147,1.0120290226938093
148,1.007285874972716
149,1.0114871974481932
150,1.0067813723221646
151,1.0113259076134709
152,1.0038150906816525
153,1.0002546805570516
154,1.0004233486394356
155,1.006598337537553
156,1.0083883417315496
157,1.0170704032935112
158,1.0155474358592835
159,1.0158160885535397
160,1.0171981477439944
161,1.021223716585471
162,1.0128652226899222
163,1.017814765952012
164,1.0175603857758073
165,1.0180034320567382
166,1.0172709975791463
167,1.0145026524575982
168,1.017018305584008
169,1.02334380859806
170,1.022137596410798
171,1.0219600571135556
172,1.0210684689732359
173,1.0226789491060142
174,1.0193168139179223
175,1.0199207571261475
176,1.016642028781505
177,1.0230794146308608
178,1.0274431480714303
179,1.0248870058361033
180,1.0300043560013163
181,1.0289126432752533
182,1.0377283850553112
183,1.042092293501511
184,1.0424143335999856
185,1.0375181894602752
186,1.0443127289184857
187,1.0441672044610468
188,1.0478149092566948
189,1.045776131047971
190,1.0488517262329489
191,1.0495485565388971
192,1.0567871452051663
193,1.0590517679438507
194,1.0553596032813575
195,1.061558496128152
196,1.0693460545078388
197,1.0685166996434954
198,1.0705019882696916
199,1.0732667449208457
200,1.075961566437217
201,1.0645281895968677
202,1.067679922337713
203,1.0679086553359742
204,1.0751888744296876
205,1.0755744090499448
206,1.0813170122865383
207,1.0813606738823358
208,1.0836432247493286
209,1.0896952387855683
210,1.0860609449650471
211,1.0929740964138808
212,1.1010988905798786
213,1.1008752114178968
214,1.0996535214655085
215,1.0973123591695289
216,1.1054370072101034
217,1.109872185422244
218,1.1128598992838443
219,1.1110042459732639
220,1.1177090036718984
221,1.1149729344052024
222,1.1095901032173403
223,1.1037533715488486
224,1.1024915014831573
225,1.0990006126297978
226,1.102237038732109
227,1.0941112493309544
228,1.092513626603826
229,1.0872899361795902
230,1.0885441707619312
231,1.0875381600735448
232,1.0938085487509943
233,1.0861257677433631
234,1.0910942655745086
235,1.092950342998734
236,1.091974844160853
237,1.0873836227613451
238,1.0934087484596318
239,1.092836525114819
240,1.0829558266835657
241,1.0802152739153223
242,1.072858616085226
243,1.0777603510751352
244,1.0631890288116126
245,1.0686894945769794
246,1.0715472993162691
247,1.0658882229171749
248,1.0724884002167325
249,1.0664022514029272
250,1.0572234235110975
251,1.060807301167994
252,1.0567903064499338
253,1.0496201690067943
254,1.0550323806720665
255,1.0435823778966578
256,1.0493415479052963
257,1.0550613974178342
