,Final Portfolio Value
0,1.008219364073367
1,1.007956922758289
2,1.0073384795534208
3,1.0017662357903432
4,1.0026286681001753
5,1.0088404497149992
6,1.0125762338153006
7,1.0178884564993949
8,1.0181965312001457
9,1.0205132948356304
10,1.0273086043998443
11,1.0260689512643912
12,1.0210967681105605
13,1.0286822461002987
14,1.0339283681128175
15,1.0361376290385076
16,1.0363382378882233
17,1.0345411071741095
18,1.0367444113562192
19,1.0316008732360558
20,1.0301437650841843
21,1.033566931282009
22,1.0341879338357591
23,1.0285699734783629
24,1.0334133547077973
25,1.0331022374637235
26,1.0302989284525244
27,1.0320113463562866
28,1.0367294904765814
29,1.0346607685338156
30,1.0340129675261547
31,1.0372828136599492
32,1.0394224694150822
33,1.0371947725456054
34,1.036242273400839
35,1.032509535801342
36,1.0330282380833578
37,1.0314240838284514
38,1.029630560808953
39,1.0301024145328195
40,1.0336827718588562
41,1.0337618011525112
42,1.0326942258807628
43,1.0329431125943596
44,1.0297800135949642
45,1.0273611670147522
46,1.0227129572302154
47,1.018907770222347
48,1.0170419143675504
49,1.0127264919617587
50,1.0162710780916713
51,1.0214879408682775
52,1.0232819956142265
53,1.0201464279356494
54,1.0144358945774412
55,1.0133566951937116
56,1.0167882126467527
57,1.0146044918575763
58,1.0140171680924035
59,1.01700590523294
60,1.0174808050454274
61,1.0254740287202724
62,1.0254924877380616
63,1.0298454012976221
64,1.0317692490919383
65,1.0373696772009653
66,1.0317076430383205
67,1.0329565246709014
68,1.0329721085987809
69,1.0374517342893368
70,1.0428010332766477
71,1.0426209546329606
72,1.0407511182663807
73,1.0373345777303125
74,1.0393876653265914
75,1.036173388189964
76,1.0401726086070657
77,1.0414787611208989
78,1.0401958108097413
79,1.0403845442442499
80,1.042391396736223
81,1.0394145646823798
82,1.0392698561951315
83,1.0410003226893239
84,1.0395991753738112
85,1.039602751862588
86,1.0354614710722165
87,1.0331468342653012
88,1.0338214017588803
89,1.0334551436082837
90,1.0365649973941902
91,1.0336156276386892
92,1.0368478932700045
93,1.040122450655298
94,1.0397080324632557
95,1.033324955106628
96,1.0360805880241153
97,1.0370237292923155
98,1.039069765357472
99,1.0424520552104537
100,1.045115326291879
101,1.0453175571419873
102,1.0466880796537623
103,1.0481518212515462
104,1.0499898781003245
105,1.0529746320849223
106,1.049801774838794
107,1.040181141145784
108,1.043234964026328
109,1.0465436853152723
110,1.048152963614091
111,1.0466795462137914
112,1.042144642042955
113,1.0437129357101291
114,1.0436452767610005
115,1.0470085326901513
116,1.04494201677727
117,1.042981253524942
118,1.043848779443294
119,1.0423826675665127
120,1.042894286605298
121,1.0442275112656827
122,1.0413048918053653
123,1.0343899880809888
124,1.0382245795652394
125,1.0351461107000857
126,1.0338588721114317
127,1.0377199993818307
128,1.0353695911147252
129,1.034877353701905
130,1.0316432692031574
131,1.0327810827497026
132,1.0320817177687636
133,1.0299776425366538
134,1.0304934081219765
135,1.0293128685560744
136,1.030492807399206
137,1.0327347991455125
138,1.0377151858807585
139,1.039325585049887
140,1.0401164534084564
141,1.0398203388294422
142,1.0394580698808287
143,1.0421646960853603
144,1.0421874763914412
145,1.0465903848257212
146,1.0489821542654785
147,1.0481545531122025
148,1.0463747923522848
149,1.0486235286533507
150,1.0452848485300186
151,1.0482804860184765
152,1.046192558534948
153,1.04358819177907
154,1.0425886432105982
155,1.0412543204299487
156,1.0423536099489923
157,1.0433233418069028
158,1.040150438999152
159,1.0375541697568904
160,1.0389775451366936
161,1.0374798070179443
162,1.0379057764710016
163,1.0407626821409783
164,1.0426104204090243
165,1.043664703886376
166,1.0450142350372202
167,1.046650170419415
168,1.0466470012672098
169,1.04740057689746
170,1.0471698402105705
171,1.0458878028796672
172,1.0443627853491346
173,1.0471484090342869
174,1.0472754877949404
175,1.0457883988209007
176,1.0424313393318798
177,1.0452759803919136
178,1.0487451533764172
179,1.0502569366030579
180,1.0518154639129533
181,1.0516485044380766
182,1.0562210554977505
183,1.0603300836399128
184,1.0636746794518515
185,1.0615929998208067
186,1.0649498810655142
187,1.063270168500368
188,1.0687528984064427
189,1.0664393452954122
190,1.0657043704293114
191,1.06824356464632
192,1.0748919867268605
193,1.0797408704873386
194,1.0781440964396396
195,1.0808927237291486
196,1.0868194315856095
197,1.0866190349869123
198,1.0902660508689253
199,1.091307807412002
200,1.0961111486057473
201,1.088905403277882
202,1.0928991664203518
203,1.0923867622614667
204,1.0993825776637802
205,1.099859084202469
206,1.1006950678767375
207,1.0992981534172388
208,1.104119870508307
209,1.107166358280006
210,1.1002296330385604
211,1.1083141015251017
212,1.1133986791814117
213,1.1119683071492306
214,1.1117437930881857
215,1.1124738760675161
216,1.1204804250454838
217,1.121840218786193
218,1.1254390203210634
219,1.1268155787584189
220,1.1277200793270268
221,1.124092148274818
222,1.1167823599574378
223,1.114816611571975
224,1.1121288616931555
225,1.11300367963537
226,1.1160869117566932
227,1.108663624341191
228,1.102692503870769
229,1.098970730805287
230,1.1017474988321982
231,1.0962163626634231
232,1.1007972886530828
233,1.09351181496335
234,1.0931741416686958
235,1.0944790843070502
