,Final Portfolio Value
0,1.0084787437213634
1,1.0046407641449657
2,1.0017737930436885
3,0.9934350177379134
4,0.9971239521831186
5,1.0047982727427143
6,1.0116761831287375
7,1.0169308171679998
8,1.0166273306451317
9,1.0162245867223443
10,1.026539687712119
11,1.0266494502497865
12,1.02198039533588
13,1.031257731007832
14,1.034188986747447
15,1.0374791749139456
16,1.0391608972384754
17,1.0349043846363852
18,1.0377211592145228
19,1.0314963329343243
20,1.0281583422295038
21,1.0312238359934995
22,1.0316141683066762
23,1.0222074033793205
24,1.0282548286813984
25,1.0262457199513189
26,1.0255666003667192
27,1.0281279111216388
28,1.0331095592948558
29,1.0311596504426237
30,1.02776423668134
31,1.031154915351387
32,1.03305975551975
33,1.028992841038236
34,1.027742653167584
35,1.0213774581047832
36,1.0220612718921769
37,1.0195546033430283
38,1.0163246281095584
39,1.0190493476574491
40,1.02405910807789
41,1.0206220797157175
42,1.018498907865671
43,1.0225000879747896
44,1.017350156126687
45,1.0140791073051405
46,1.0078043879132215
47,1.0028873698083318
48,1.0032113192537218
49,0.997035667026356
50,1.003334576170563
51,1.0114579938730035
52,1.013703116037019
53,1.0156780117988937
54,1.0080557448649978
55,1.0095868112794015
56,1.013295940552631
57,1.0131970774048922
58,1.0112909799877907
59,1.0146993749039939
60,1.0134574858773782
61,1.022341201041774
62,1.021362592319885
63,1.0243523836201582
64,1.027116408854768
65,1.0312293282857845
66,1.0282150674650776
67,1.0300232574610915
68,1.0308468680138656
69,1.035878252752593
70,1.037797203391845
71,1.0366967628700285
72,1.0327112148279678
73,1.0307500782518673
74,1.0324033242307165
75,1.032017214691118
76,1.036043941230607
77,1.0357596073298971
78,1.0342845579437392
79,1.036535457716301
80,1.0405230158056873
81,1.0376084821466485
82,1.037709270772901
83,1.0369361103027144
84,1.0386467230349723
85,1.0383897651799754
86,1.0343314664145187
87,1.0304731983373006
88,1.0308202016271482
89,1.0291340646681075
90,1.032748907417822
91,1.02776270385565
92,1.0320712124769365
93,1.0349981805827138
94,1.0342428713338467
95,1.0271343341204417
96,1.032040156139332
97,1.031888676603245
98,1.0322613345687148
99,1.0343440847407601
100,1.0381339250009023
101,1.0384828369772925
102,1.039151761963669
103,1.0400185080727806
104,1.0398664561003794
105,1.0429599638313511
106,1.0400961637111321
107,1.035487282676173
108,1.0379650300510483
109,1.0433689676296984
110,1.0440057059564936
111,1.041128540485693
112,1.0391477855606204
