,Final Portfolio Value
0,1.0085552921031142
1,1.0002297741462962
2,0.9947911845884982
3,0.9833038496731547
4,0.9902889150954772
5,0.9997428972134188
6,1.0104132148907246
7,1.015691107187429
8,1.014664798630653
9,1.0109592319661185
10,1.0254468879246585
11,1.027114391875925
12,1.0227663588206786
13,1.0339653376491358
14,1.034047459984041
15,1.0385416086561954
16,1.0419111037105928
17,1.0347187684151091
18,1.0382626140699303
19,1.0307153395713142
20,1.0251462504851476
21,1.027801740582286
22,1.0279487832669727
23,1.0141700777493698
24,1.0215627912858574
25,1.0175273496575223
26,1.019398402070412
27,1.022930509617656
28,1.0282094816870484
29,1.0263397154685303
30,1.0196122756013757
31,1.0232318730476782
32,1.0247502076223851
33,1.0185248292907008
34,1.0169811543346114
35,1.0075665755057739
36,1.0084273558146686
37,1.005074757108561
38,1.0002107185291078
39,1.005508454556805
40,1.012198636689841
41,1.0044610484527818
42,1.0012783887619408
43,1.0096318107071414
44,1.0021770953670535
45,0.9978704899882198
46,0.9897209100482005
47,0.9837006804522679
48,0.986889191211455
49,0.9787068682712365
50,0.988185318555841
51,0.9995484365591654
52,1.0022667007882273
53,1.0102908644916873
54,1.000418802870003
55,1.005173432585052
56,1.009228583214096
57,1.011606221979845
58,1.0079774280599532
59,1.0118997587625904
60,1.0086043699988165
61,1.0184987203369293
62,1.0162674505119267
63,1.0176943445371414
64,1.0214677756899628
65,1.0236211003717905
66,1.0238888771103256
67,1.0262281624689689
68,1.0279850939236135
69,1.033691138624776
70,1.0313278255912255
71,1.0291434507295096
72,1.022588976959891
73,1.0225400912566538
74,1.0236323627580601
75,1.0265097936835097
76,1.0304270652968408
77,1.0280447801339019
78,1.0264130265591
79,1.0311024293521787
80,1.037330121511478
81,1.0345755654601771
82,1.03493408394881
83,1.0312155504326341
84,1.0365399030011018
85,1.036006398835031
86,1.0319438335744995
87,1.0261614147904226
88,1.0262060839384075
89,1.0229318516569614
90,1.0272534468438257
91,1.019903674028136
92,1.0254401472996881
93,1.027917495381406
94,1.026771973008567
95,1.0188297408651843
96,1.0262400043378845
97,1.0247209939042699
98,1.0230919560917426
99,1.0235599610385337
100,1.028706809625755
101,1.029211823105797
102,1.0290737892919337
103,1.0291637706493986
104,1.0265990451432014
105,1.0297886637539448
106,1.027233048625137
107,1.0288812555719355
108,1.0305443101888911
109,1.038431729032621
110,1.037869015784426
111,1.0333269519351587
112,1.034336610595371
113,1.0353176463006732
114,1.0352584575996533
115,1.0392140792296531
116,1.0342184918418889
117,1.0319929340472214
118,1.0290198442655047
119,1.0243376619784754
120,1.022406651407258
121,1.0255749155010292
122,1.0158832330555527
123,1.0072145255644582
124,1.0127823693824805
125,1.012294213667089
126,1.0059097537894686
127,1.0115835423416568
128,1.0109163643822119
129,1.0073525067474325
130,1.003363860613805
131,1.0029653349939918
132,0.9998798900692563
133,1.0005855099992336
134,0.9987510367556472
135,0.9956594053303405
136,0.9966263139849825
137,1.0027824253381479
138,1.010627756260425
139,1.0102181096535932
140,1.0086956689352868
141,1.0114246544499934
142,1.0069106742828255
143,1.010538164159737
144,1.0075320144173898
145,1.0131080038132354
146,1.0163417943224362
147,1.0136380434759413
148,1.0089308892836248
149,1.0130906586689323
150,1.008404647588021
151,1.0129107336457475
152,1.005478672126064
153,1.0019188511979435
154,1.002071254259783
155,1.0081562977809682
156,1.009911626399934
157,1.0184905815183176
158,1.0169475747258288
159,1.0171668057677923
160,1.0185567981401935
161,1.022518247369602
162,1.0142866200757004
163,1.019212192181446
164,1.0190038253646228
165,1.019454620796997
166,1.0187692635110561
167,1.0160563059466847
168,1.0185494008484357
169,1.0248129985751027
170,1.0236123135399748
171,1.0234123160056996
172,1.0225122090450958
173,1.0241432955854726
174,1.0208348041328064
175,1.021399365194027
176,1.0181103755090266
177,1.0245138893501728
178,1.0288578880356019
179,1.026391907559928
180,1.0314511183904838
181,1.0303959195078574
182,1.039151872692289
183,1.0435516149473427
184,1.04392448479196
185,1.039061116609393
186,1.0458148487345582
187,1.0456331105896428
188,1.049321331187091
189,1.0472823551235728
190,1.0503095114205125
191,1.0510454666208071
192,1.0582772444989366
193,1.0605860203785322
194,1.0569192770478113
195,1.063048037486946
196,1.070808586819298
197,1.0699840244122696
198,1.0719929666857584
199,1.0747359580121825
200,1.0774765797366042
201,1.066078433927374
202,1.0692265233119043
203,1.0694616614396724
204,1.0767566596086084
205,1.0771589026936135
206,1.0828274624150576
207,1.0828223846888263
208,1.0851610283244528
209,1.0911754662295976
210,1.0874599340410933
211,1.0944147655063539
212,1.1024882977409167
213,1.1022557210566966
214,1.1010656034562452
215,1.0987534155991618
216,1.1068978855180969
217,1.1112926176505287
218,1.1142920894646884
219,1.1124914407498019
220,1.1191160429061986
221,1.116375615036189
222,1.110935360376541
223,1.1051583271082097
224,1.1038525103274068
225,1.1004376457686709
226,1.1036559918147637
227,1.0955478229087585
228,1.093882207253556
229,1.088667788630214
230,1.0899619260768203
231,1.0888425385644014
232,1.0951061198622865
233,1.087422820271355
234,1.0923113675495129
235,1.09416341888376
236,1.0932320360055683
237,1.088692513744142
238,1.094679236416762
239,1.094094701598815
240,1.0841863499603936
241,1.0814607953898436
242,1.074108997148655
243,1.0790301470027726
244,1.0644571837961676
245,1.0698994468756189
246,1.0728047977666377
247,1.0671466637480405
248,1.0736757876115515
249,1.0675375818494284
250,1.058345462948685
251,1.0619410335042763
252,1.057829131027472
253,1.0506807394144593
254,1.0561013376118464
255,1.0447001822686446
256,1.0504353995089881
257,1.056166168229935
258,1.0577648372696256
259,1.0565474771069
260,1.0598871967378551
261,1.050154154481998
262,1.054133645005255
263,1.0544538742620106
264,1.060376842558749
265,1.0666284532275703
266,1.0630996624416384
267,1.0618784986250798
268,1.0586511345525038
269,1.0562307024278288
270,1.059461579507721
271,1.0584525650046035
272,1.065522309964996
273,1.0665852877638582
274,1.0653422344764842
275,1.0688714957715533
276,1.0729699430361355
277,1.0768558898226268
278,1.078683065450147
279,1.0775788133771347
280,1.0766582878296862
281,1.0765108038888216
282,1.0807043578993631
283,1.0798393185744901
284,1.086362736504011
285,1.0884989833101228
286,1.0941824543490979
287,1.0929411151783426
288,1.0843554412455865
289,1.0884032005566082
290,1.0826567784677328
291,1.081275661787209
292,1.0829900684195304
293,1.0848771584158325
294,1.0857315478768914
295,1.093045727075241
296,1.0915755558648939
297,1.0869438423064857
298,1.0903897866992547
299,1.0894094035268236
300,1.0884989386412545
301,1.088618918404413
302,1.090595906931999
303,1.0930381310256307
304,1.0923133803315757
305,1.0896332470644543
306,1.08813734625098
307,1.086768441375359
308,1.0896280699403595
309,1.0910492009496071
310,1.0877705079869093
311,1.086791437185633
312,1.0891055220653048
313,1.0884649033840623
314,1.0987724308032956
315,1.0951303944740927
316,1.0927817049154211
317,1.0959451498685109
318,1.0959240524262759
319,1.0951919439468862
320,1.0915954179841862
321,1.0910697133448213
322,1.088630215995148
323,1.0851749523160263
324,1.0864778046524557
325,1.0932274015804762
326,1.0987729694753587
327,1.0986434524872413
328,1.0965697127004201
329,1.095054625827354
330,1.0939650196507913
331,1.0937288581656994
332,1.0949533549686474
333,1.098712514610842
334,1.101225558836338
335,1.1017384405478934
336,1.097789392717846
337,1.098096215308817
338,1.0983157167670086
339,1.096021546463981
340,1.0992970060474565
341,1.102916237246581
