,Final Portfolio Value
0,1.0037463405457816
1,1.0015180720815413
2,0.9996769807501489
3,0.992623106563727
4,0.9950249954817443
5,1.0020104298434616
6,1.0074507909611818
7,1.0127114671888031
8,1.0126837517096952
9,1.0134989168543516
10,1.0221882810732923
11,1.0216903991395563
12,1.016904950363979
13,1.0253772559742307
14,1.0293285175089564
15,1.032115321494404
16,1.0331219538947443
17,1.0299869798268733
18,1.0325157409353403
19,1.0268024318330493
20,1.0243231985822692
21,1.0275357535903755
22,1.0280291465254408
23,1.0203701205655316
24,1.0258461394990628
25,1.0246071387353362
26,1.0229798929220624
27,1.0251471432292965
28,1.0299871674967367
29,1.0279900832064075
30,1.0258390396767978
31,1.0291639815264262
32,1.0311604634923983
33,1.0279380176120019
34,1.026829785493711
35,1.0216775973623546
36,1.0222833724614095
37,1.020203231704155
38,1.0176354214284462
39,1.0193327930287248
40,1.023677939029507
41,1.0218274709220572
42,1.020196257236035
43,1.0224918443283553
44,1.01825885138055
45,1.0153837900620089
46,1.0098696684677164
47,1.005483643707815
48,1.0048363408333354
49,0.9995323392662048
50,1.0045632291673567
51,1.0113364855627032
52,1.0133662181081216
53,1.0130396342941606
54,1.0063103489367144
55,1.0066696596402158
56,1.0102381196298507
57,1.009204876747955
58,1.0078916256329686
59,1.0110969950284523
60,1.0106299162889856
61,1.019071605432432
62,1.018541400517744
63,1.022131339134922
64,1.024506538255312
65,1.0292587986439783
66,1.0250773616832196
67,1.0266203747027662
68,1.0270766935278937
69,1.031838583118852
70,1.0352773619336473
71,1.0345950573927345
72,1.0315738106413648
73,1.0289774783992915
74,1.0307985029256985
75,1.0291416205870685
76,1.0331310869912191
77,1.0335516118411816
78,1.032172722101426
79,1.0334881779327258
80,1.0365642137863842
81,1.0336390107558715
82,1.0336277018070583
83,1.033981989658802
84,1.0342857074773295
85,1.0341482590340991
86,1.0300665546952827
87,1.0269138915567946
88,1.0274101779791982
89,1.0263226301958772
90,1.0296994497319856
91,1.0256518853080792
92,1.0294558198288417
93,1.0325235873649337
94,1.0319252567236197
95,1.0251757618487567
96,1.029092770570462
97,1.0294297058774529
98,1.0305503469191848
99,1.033203017732407
100,1.0364712727234682
101,1.0367519866968793
102,1.037733662810613
103,1.0388610275419903
104,1.039599775648384
105,1.0426288706968387
106,1.0396368597216274
107,1.0328157793415187
108,1.0355345203194783
109,1.039974058693764
110,1.041041933323346
111,1.0388074520865047
112,1.0356884827820285
113,1.0371131856625588
114,1.0370316168387608
115,1.0405292803056376
116,1.0377337508031226
117,1.0357048593352274
118,1.035620383491493
119,1.0333485650324477
120,1.0332412460422904
121,1.0350377135216238
122,1.0304659182237281
123,1.0231306578982085
124,1.0273943792937834
125,1.0249619271398933
126,1.022415420829812
127,1.0267216518567106
128,1.0248073328129501
129,1.0235489213934685
130,1.0201557168431157
131,1.020896053924687
132,1.0196187720457521
133,1.0181952044883862
134,1.0181423495471833
135,1.0164611444544405
136,1.0175624957046763
137,1.0207813890463857
138,1.0264673492224619
139,1.0275674839832267
140,1.0277767033276306
141,1.0282366313704392
142,1.0268440120322324
143,1.0297693527422047
144,1.0290403375530317
145,1.0337333230090464
146,1.0363059219020194
147,1.0350323410727624
148,1.0325272129633383
149,1.0352255604549698
150,1.0315698420261978
151,1.0349086777769325
152,1.0315033524200503
153,1.028661964497047
154,1.027954900979974
155,1.0284917351442455
156,1.0297231881427278
157,1.032588507765209
158,1.0298418836852261
159,1.027951632652779
160,1.0293664922507557
161,1.0292503964899582
162,1.027520938381023
163,1.030883287553028
164,1.0322256213102006
165,1.0331230483480327
166,1.0339765086824508
167,1.0345137288739439
168,1.0351454239723301
169,1.0372841273942384
170,1.03680471663049
171,1.0357920762921111
172,1.0344313207461022
173,1.0369185084341974
174,1.0361937820638478
175,1.0352156178766785
176,1.0318842881678494
177,1.035616994186332
178,1.0392781431456934
179,1.0398244132695658
180,1.042238322990094
181,1.0418748685094346
182,1.0474647296785362
183,1.0516640563247668
184,1.0542588711366974
185,1.0514886028841062
186,1.055681182634836
187,1.0543687855027717
188,1.059389938624927
189,1.0571609532983468
190,1.0573722665853835
191,1.0594620372211399
192,1.0662214918621942
193,1.070419488603568
194,1.0683115960895688
195,1.0718654521627409
196,1.0782161967769242
197,1.077857293199329
198,1.0810769409718717
199,1.0825393512700416
200,1.0868194238414721
201,1.0785836012252081
202,1.0823295049941608
203,1.0820231406916445
204,1.0890748803233115
205,1.0895459814396748
206,1.0915760919431785
207,1.0905044858314163
208,1.094702428834466
209,1.0984765632296023
210,1.0923442287840508
211,1.100129382338187
212,1.1059224749061811
213,1.1048063517933624
214,1.1043603336932792
215,1.1043142627299998
216,1.1123338710636204
217,1.1144451608226942
218,1.1178785158607354
219,1.1184659479455106
220,1.1207918304754592
221,1.117412799599833
222,1.110577264068213
223,1.1076780849325238
224,1.1053247784437719
225,1.1051412195913182
226,1.1082253497114332
227,1.1006792782212296
228,1.095806168669431
229,1.0917206012561764
230,1.0941318809555596
231,1.089678959449658
232,1.094671562133048
233,1.0873200128191787
234,1.0882805439281926
235,1.089718521171763
236,1.0903557745030932
237,1.088410033773368
238,1.09296395424538
239,1.0910590396823476
240,1.079895899118403
241,1.07815594052926
242,1.0720549527860344
243,1.075880480063975
244,1.0617898757108095
245,1.0654391406017443
246,1.0694104562156979
247,1.0642146688421394
248,1.0674936169721163
249,1.0600475113855083
250,1.0506209370619148
251,1.0552525904642898
252,1.0485636161526366
253,1.0425529696248415
254,1.0484125678896117
255,1.0392545455659459
256,1.0451708397883517
257,1.0506264656751083
258,1.0517467615977294
259,1.0494201871635114
260,1.0509648182398892
261,1.0405220592602618
262,1.0436031957568193
263,1.0442561260570795
264,1.049176035748931
265,1.0563982575131214
266,1.0527707631452259
267,1.0502671437341626
268,1.04960408797218
269,1.046370607645117
270,1.0493643564816877
271,1.0483667284320717
272,1.0555849259157388
273,1.0557777590668436
274,1.050787716922608
275,1.0540606658553462
276,1.0583476923391508
277,1.0644197609147414
278,1.063967231128825
279,1.0647412902846998
280,1.0671724107968708
281,1.0652321356463832
282,1.0703002222209368
283,1.0701010625319645
284,1.0746136598072475
285,1.0783030215025087
286,1.0814576335948738
287,1.0809499271079421
288,1.0740388816411814
289,1.0772587539556473
290,1.075389714705397
291,1.075635193807813
292,1.0794012309003853
293,1.0792575420031403
294,1.0828999411613733
295,1.085895808831309
296,1.0834529317866843
297,1.0749446783929928
298,1.0777519263124842
299,1.075465983683529
300,1.076100080350351
301,1.0748290379289924
302,1.0777529469556706
303,1.0788921516646257
304,1.0768158988755174
305,1.074690631844386
306,1.0721808461615765
307,1.0734935244833541
308,1.0756057379949413
309,1.076826392274139
310,1.0765414642284046
311,1.0740614140434273
312,1.0783661726640303
313,1.0769984794907568
314,1.085793109779189
315,1.080776093799534
316,1.0784576393897187
317,1.0809069895963512
318,1.0790390872021887
319,1.0794759151373303
320,1.0749150146316715
321,1.0724580150525207
322,1.0712192926363804
323,1.0682591855828671
324,1.07040304952171
325,1.0751746959544652
326,1.0822629490346782
327,1.0843614911725772
328,1.0837376789333135
329,1.084534791777155
330,1.0805758913435841
331,1.0825537914060102
332,1.08413503977444
333,1.0839478996475378
334,1.086685447561026
335,1.086090378545395
336,1.0814169040481187
337,1.0788085864055692
338,1.0800505602212551
339,1.0778156606730493
340,1.0803560633825249
341,1.086979755101189
342,1.0846477969415553
343,1.0789129017226964
344,1.0804856851560398
345,1.0880156622989476
346,1.0898923275302685
347,1.0871352072679474
348,1.0907769316593938
349,1.0930779438871636
350,1.1002195895843783
351,1.1003740123964494
352,1.0997149819776963
353,1.095540223158085
354,1.099852906051744
355,1.1017407846806
356,1.102235961006694
357,1.1003192078989519
358,1.0996894286609664
359,1.0927166946444922
360,1.0965890293910507
361,1.1034942505645562
362,1.1054418706775646
363,1.1076202911553121
364,1.1127867428561249
365,1.114940459176589
366,1.1165300744811926
367,1.1207430207921905
368,1.1232212551178096
369,1.1218744245993166
370,1.1200544883686334
371,1.1245923857819768
372,1.1273624105044437
373,1.1204264529908434
374,1.120309612652652
375,1.1212331392342147
376,1.1108545641851273
377,1.1118579717793762
378,1.1138425447832134
379,1.1116948106601172
380,1.114283562528028
381,1.1106903217280073
382,1.1090715893597687
383,1.1165933041465343
384,1.1184052300479967
385,1.1176685158492878
386,1.1255753586214658
387,1.123073351391436
388,1.1246670311417561
389,1.1265582442683202
390,1.1241150243641913
391,1.1245199512321382
392,1.1203775652948083
393,1.121948151998267
394,1.1225264138675293
395,1.124541452712151
396,1.1245551105285294
397,1.1273450710829178
398,1.1279406786529254
399,1.1229111532736296
400,1.1228854954441654
401,1.1258558568317931
402,1.1357336150101798
403,1.1365336239524009
404,1.137092803790047
405,1.1337841773222725
406,1.1273814363991117
407,1.1294314782877484
408,1.125715577192702
409,1.1313058782441814
410,1.1348214586577476
411,1.1313938215960273
412,1.1267411336364321
413,1.1259195461270117
414,1.126884445050209
415,1.1254890531601192
416,1.1287206465238664
417,1.1227335881371077
418,1.1255902823505117
419,1.1259752891306145
420,1.128731621899349
421,1.1264380192133558
422,1.1151722651758629
423,1.1135973923358184
424,1.1162076599855224
425,1.1142665439783148
426,1.1135731305149714
427,1.1114855459434094
428,1.1015451782881467
429,1.1003776601492647
430,1.098352287165894
431,1.1036492820282018
432,1.1022299626543373
433,1.0919293233615357
434,1.0946834710273037
435,1.1027330716373833
436,1.0995879398379291
437,1.098184160619708
438,1.1023062427347365
439,1.0930080329222531
440,1.0880217321136367
441,1.087154558777218
442,1.0875027827484955
443,1.0856509634666776
444,1.0847274739349098
445,1.0805287502302947
446,1.0665193769103816
447,1.0604219706613378
448,1.0642141590139367
449,1.064294118575054
450,1.0608840018527954
451,1.0649001337706592
452,1.0660348438461718
453,1.0678462757141125
454,1.0640328347662902
455,1.0682135847829122
456,1.0682437800966977
457,1.0705711548978138
458,1.0759501875147934
459,1.0801168314389522
460,1.0857299529670017
461,1.0839093926039105
462,1.0771909216257531
463,1.076571409210061
464,1.0758914674509266
465,1.0745404552056392
466,1.0805277702581244
467,1.0809525816648677
468,1.0751621368682716
469,1.077212328290513
470,1.0703270560677556
471,1.081550932206117
472,1.0811639402103543
473,1.0825837401781444
474,1.0821335892032495
475,1.0821289837708736
476,1.0822032530118315
477,1.0851689541388065
478,1.0869913592914981
479,1.0857575559231902
480,1.0799058196424909
481,1.085206690843592
482,1.0895994511487068
483,1.0861701902508063
484,1.0912189492386153
485,1.087053073335826
486,1.0881454164502713
487,1.0858748374801783
488,1.0876937996496991
489,1.089374169028471
490,1.0879923491361736
491,1.0869745711481993
492,1.084687146947465
493,1.0908013827859746
494,1.0908226585450087
495,1.0876842787382424
496,1.0827025855507941
497,1.0830934894700017
498,1.0827934944389292
499,1.0806272376671282
500,1.078085758152747
501,1.077717079761376
502,1.0809351108317935
503,1.086727419751641
504,1.0864271957119578
505,1.0850378526278952
506,1.0855473391063928
507,1.0825161295749122
508,1.0868437025631081
509,1.085938722152476
510,1.0867981251992087
511,1.0869865927075169
512,1.0845916239520874
513,1.0873020498517707
514,1.090477948679689
515,1.0951581436151114
516,1.0963915136654254
517,1.0976928574328966
518,1.0974176531181181
519,1.0945671161565946
520,1.0947268983670686
521,1.099040714920279
522,1.1010704932269928
523,1.1022642030900598
524,1.102847399078146
525,1.1076686750629525
526,1.1044849100768177
527,1.1040428143450665
528,1.0985646861851135
529,1.1031222390930386
530,1.1057298116216505
531,1.106424149354751
532,1.1085324967903563
533,1.111401913536234
534,1.1122927274705567
535,1.1096824381598145
536,1.1150442241134282
537,1.113516342344199
538,1.1162616675769739
539,1.1186373150660391
540,1.1173935727738749
541,1.112943479201029
542,1.1132340088725703
543,1.1139489591194585
544,1.11503504636044
545,1.1118977305714348
546,1.110233898096097
547,1.1087652574062616
548,1.1096644379689051
549,1.1111186670336992
550,1.1107344783593258
551,1.1060390321211968
552,1.1109546757234108
553,1.1125897888417222
554,1.1121038770296017
555,1.1128522962171443
556,1.1130648188313672
557,1.1112597233819494
558,1.1141497732958632
559,1.1109736201275533
560,1.1142520272584948
561,1.1141062904348973
562,1.1119635860506643
563,1.1130700982519186
564,1.1164080766424846
565,1.1154101548600142
566,1.1172620762549281
567,1.1204847905992794
568,1.1141017564123796
569,1.1157127511839642
570,1.1182565625184537
571,1.1248086194532703
572,1.1213127087905326
573,1.1187161639254535
574,1.1186593996074847
575,1.1171795179044857
576,1.120023867995931
577,1.126469021188102
578,1.1267015940910747
579,1.1237615659080955
580,1.1298858397543263
581,1.1313011562622393
582,1.123349756323811
583,1.12534884554165
584,1.1253896274962638
585,1.1272432509005976
586,1.124597195564347
587,1.117928401109255
588,1.116747077892373
589,1.1184491266952363
590,1.1160173026023852
591,1.1224226640382504
592,1.1240318456876768
593,1.1212940947200862
594,1.1271977779326008
595,1.128950039784601
596,1.1294008928928787
597,1.1334029115411253
598,1.1355793575956032
599,1.1398270872217844
600,1.1325608680197368
601,1.1299967557110244
602,1.1303058156944938
603,1.1340160973545876
604,1.1351521735323784
605,1.1355021650802923
606,1.1302305941207504
607,1.132979595457509
608,1.1315461420765882
609,1.134511195442128
610,1.1317614676390626
611,1.1324331269035859
612,1.1238307803347887
613,1.123628577621897
614,1.1254312226514371
615,1.1244557181477495
616,1.1248447293054635
617,1.124581184673629
618,1.1268804825146785
619,1.126740042569344
620,1.1289105582185657
621,1.132130868768572
622,1.129856886383553
623,1.1273171040160073
624,1.1269409765443246
625,1.12647702199806
626,1.1248906865807151
627,1.1266822735780702
628,1.1253438208366826
629,1.1288642515640375
630,1.131727271937142
631,1.130846525205126
632,1.1315743964472245
633,1.1305085235580155
634,1.137477477738802
635,1.138061884523177
636,1.1400633357159544
637,1.1406407382451949
638,1.1380449019976675
639,1.138623957860538
640,1.1400520458914423
641,1.1399248793697254
642,1.1365945832644433
643,1.1321719886933725
644,1.1296970295715676
645,1.1246000068439375
646,1.1273252224861645
647,1.1284607553132628
648,1.1328086757695546
649,1.1258312613242496
650,1.1250094738175984
651,1.1250146153958254
652,1.1248503409257817
653,1.1311272698777708
654,1.1332411105131706
655,1.1279542745836877
656,1.1177390956397468
657,1.1195972519063728
658,1.114750248826426
659,1.11751097080607
660,1.112655186278963
661,1.1122501097012187
662,1.1134527670098007
663,1.1111299984290717
664,1.1085820564985882
665,1.0990331655918752
666,1.1012973476863492
667,1.102144311970157
668,1.1010854349512635
669,1.1009171438341794
670,1.1072210876341537
671,1.110286196878145
672,1.1064464011745874
673,1.1047425704477447
674,1.1074162337770548
675,1.1091161478643516
676,1.10758426053548
677,1.1065292202406185
678,1.1087822760252242
679,1.1142272763706402
680,1.1115082599322825
681,1.107891641888191
682,1.1069344971115822
683,1.1070803147842336
684,1.1129010996586373
685,1.1086834380578057
686,1.109901288495846
687,1.11130585526904
688,1.1150114710396624
689,1.1113592476207752
690,1.1157639055080857
691,1.1162443519785477
692,1.1170971592968324
693,1.1163134919918454
694,1.1167744661051164
695,1.119763539667982
696,1.1207785019175847
697,1.1154078533252518
698,1.1160598386495206
699,1.1139365254744595
700,1.116155280662238
701,1.1120547265657146
702,1.1138130959503993
703,1.1164494874227477
704,1.1194096521961567
705,1.1253526558815228
706,1.1250714141956184
707,1.1244227648154324
708,1.1291625124321227
709,1.1311618053000578
710,1.1285499501868363
711,1.131125681247064
712,1.1318327429599357
713,1.1336695848783562
714,1.139065462239907
715,1.1410290995634738
716,1.1342929486772064
717,1.136893937735859
718,1.1388254560126658
719,1.1365382065594738
720,1.1372713157532282
721,1.1321178340986067
722,1.130848995199154
723,1.1307975046362428
724,1.1306389697946706
725,1.1335075137955828
726,1.1346125071406608
727,1.1332990511108967
728,1.13520996753663
729,1.1411707075403164
730,1.1373851836522304
731,1.1368598476643408
732,1.1375198148568826
733,1.1375132682268556
734,1.1371139022206405
735,1.1376173241440326
736,1.1303520715151647
737,1.1303134180157284
738,1.129259324782179
739,1.132042963879111
740,1.1336377949298526
741,1.13335124926577
742,1.1321817612197984
743,1.1329946376673963
744,1.133715055993143
745,1.1343779742944164
746,1.131531728266746
747,1.1346764305198842
748,1.137465921952877
749,1.1302187718191083
750,1.1357500724732397
751,1.1337302733792998
752,1.1346695133741926
753,1.135149864003812
754,1.1402977440049393
755,1.1343806668000973
756,1.1300910482606366
757,1.1314078365092903
758,1.13357937246704
759,1.1307754350034092
760,1.1253830193735974
761,1.1216558750984005
762,1.125695957755928
763,1.1252111066551078
764,1.1305066504063674
765,1.131965282651246
766,1.131830790849117
767,1.1307619235270754
768,1.1284174679699097
769,1.1313111220275174
770,1.1309075972830773
771,1.1316136448369314
772,1.1315523926161555
773,1.1294009275519112
774,1.1311504517011675
775,1.1291371941845307
776,1.1314276414968725
777,1.1328933458984554
778,1.1415935791363923
779,1.1382926443801638
780,1.1375136993778352
781,1.1396403226335656
782,1.1377069227381666
783,1.1365261302362444
784,1.1397288467155564
785,1.1372031020093258
786,1.1365368798600848
787,1.1336141760276415
788,1.131151676667537
789,1.1313200776420786
790,1.131301081429049
791,1.12770522888921
792,1.1282349151524333
793,1.129517205524477
794,1.1263425318035163
795,1.1241483090279458
796,1.1247495258067688
797,1.126710457187112
798,1.1286353101222921
799,1.1264923263708346
800,1.1203333629752952
801,1.1176633997344354
802,1.1141767010936994
803,1.1114549366007123
